frequency_hz,amplitude,amplitude_normalized
0.0,1.4139589086098083,0.09846548505772774
2.2123893805309733,1.264985863149651,0.08809127751008164
4.424778761061947,11.533982831773756,0.8032052468163423
6.63716814159292,14.359944581401708,1.0
8.849557522123893,4.185052063242931,0.2914392906963724
11.061946902654867,0.4155464587187309,0.02893788735486669
13.27433628318584,0.1294970943821581,0.009017938310839746
15.486725663716813,0.05780787935989332,0.004025633875688019
17.699115044247787,0.031267384157284236,0.002177402843029089
19.91150442477876,0.019210218245384637,0.0013377640934815838
22.123893805309734,0.013113961692009405,0.000913232054460291
24.336283185840706,0.010124708747572165,0.0007050660042717149
26.54867256637168,0.009669744805834402,0.0006733831562524398
28.761061946902654,0.013674331956286508,0.0009522552039648418
30.973451327433626,0.033620806155659,0.002341290801303162
33.1858407079646,0.2144663931865747,0.014935043235775505
35.39823008849557,1.1115448007950095,0.07740592552387894
37.610619469026545,1.152272644215537,0.0802421372647847
39.82300884955752,0.24842019538623297,0.01729952326612559
42.0353982300885,0.0331879170199102,0.002311145201973381
44.24778761061947,0.010653608977567515,0.000741897638753115
46.46017699115044,0.004670958445712057,0.0003252769130990695
48.67256637168141,0.0024395160189620824,0.0001698833867452123
50.884955752212385,0.0014405543851789843,0.00010031754489113554
53.09734513274336,0.0009395282856707622,6.542701333872785e-05
55.309734513274336,0.0006669933063599791,4.644818109004654e-05
57.52212389380531,0.0005080214307030396,3.537767348775175e-05
59.73451327433628,0.0004085780655129456,2.8452621331290913e-05
61.94690265486725,0.0003417689995154456,2.3800161454528728e-05
64.15929203539822,0.0002937440762774827,2.0455794561904197e-05
66.3716814159292,0.00025716094829756903,1.7908213143846755e-05
68.58407079646017,0.0002279915170610947,1.587690786469873e-05
70.79646017699115,0.00020393054246722807,1.4201346064479167e-05
73.00884955752213,0.0001835899462288485,1.2784864536777193e-05
75.22123893805309,0.00016608982770799317,1.1566188627434157e-05
77.43362831858407,0.00015083995824785885,1.0504215903675515e-05
79.64601769911503,0.00013742510986031493,9.570030655849548e-06
81.85840707964601,0.00012553910267697917,8.742311083816523e-06
84.070796460177,0.00011494782540421362,8.00475410978176e-06
86.28318584070796,0.00010546671440535335,7.344507063206124e-06
88.49557522123894,9.694657037088151e-05,6.7511799799312544e-06
90.7079646017699,8.926453042850328e-05,6.216216916610827e-06
92.92035398230088,8.231791892520134e-05,5.732467730538142e-06
95.13274336283186,7.601983211493214e-05,5.293880605457857e-06
97.34513274336283,7.029615514024899e-05,4.895294319679555e-06
99.5575221238938,6.508305319297457e-05,4.532263535143926e-06
101.76991150442477,6.03252572766436e-05,4.200939421087593e-06
103.98230088495575,5.59748524209505e-05,3.897985267536921e-06
106.19469026548671,5.1989545343874096e-05,3.6204558485001673e-06
108.40707964601769,4.8333064997157145e-05,3.36582531521436e-06
110.61946902654867,4.497201729089817e-05,3.131768164979112e-06
112.83185840707964,4.187856664201648e-05,2.91634597923557e-06
115.04424778761062,3.902691533515683e-05,2.7177622527668083e-06
117.25663716814158,3.6394582186381824e-05,2.53445143747409e-06
119.46902654867256,3.396145039848234e-05,2.3650126367804747e-06
121.68141592920354,3.1709624527700704e-05,2.2081996450577843e-06
123.8938053097345,2.9623022213344978e-05,2.0628925164315228e-06
126.10619469026548,2.7687310679781924e-05,1.928093142897025e-06
128.31858407079645,2.58895672854896e-05,1.8029016155828685e-06
130.53097345132744,2.4218177501958787e-05,1.6865091201901279e-06
132.7433628318584,2.266268815388616e-05,1.5781877169106736e-06
134.95575221238937,2.1213651349808635e-05,1.4772794720450042e-06
137.16814159292034,1.98625216298645e-05,1.3831892955624256e-06
139.38053097345133,1.8601449138152072e-05,1.2953705380063758e-06
141.5929203539823,1.7423922670753544e-05,1.2133697711702975e-06
143.80530973451326,1.6322677467586736e-05,1.1366810905891005e-06
146.01769911504425,1.5292731784829617e-05,1.0649575768304851e-06
148.23008849557522,1.4328335039956493e-05,9.977987699558287e-07
150.44247787610618,1.342500145277998e-05,9.348922885236883e-07
152.65486725663715,1.2578033285987363e-05,8.759109907901603e-07
154.86725663716814,1.1783592092065849e-05,8.205875743648326e-07
157.0796460176991,1.1037931977152185e-05,7.686611821223857e-07
159.29203539823007,1.033770033636198e-05,7.19898344855095e-07
