"(No Title)"
	"2026-05-"	"8 15:48:46"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"  rev2_Acc"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".MODEL_1.Last_Run.rev2_Acc.TIME"	".MODEL_1.Last_Run.rev2_Acc.Q"
0.000000e+00	1.260963e+01
1.000000e-02	1.260959e+01
2.000000e-02	1.260907e+01
3.000000e-02	1.260688e+01
4.000000e-02	1.260068e+01
5.000000e-02	1.258744e+01
6.000000e-02	1.256605e+01
7.000000e-02	1.253186e+01
8.000000e-02	1.247979e+01
9.000000e-02	1.240545e+01
1.000000e-01	1.230386e+01
1.100000e-01	1.217011e+01
1.200000e-01	1.199964e+01
1.300000e-01	1.178866e+01
1.400000e-01	1.153452e+01
1.500000e-01	1.123601e+01
1.600000e-01	1.089365e+01
1.700000e-01	1.050980e+01
1.800000e-01	1.008854e+01
1.900000e-01	9.635457e+00
2.000000e-01	9.157169e+00
2.100000e-01	8.660772e+00
2.200000e-01	8.153230e+00
2.300000e-01	7.640804e+00
2.400000e-01	7.128571e+00
2.500000e-01	6.620100e+00
2.600000e-01	6.117276e+00
2.700000e-01	5.620283e+00
2.800000e-01	5.127702e+00
2.900000e-01	4.636695e+00
3.000000e-01	4.143247e+00
3.100000e-01	3.642414e+00
3.200000e-01	3.128586e+00
3.300000e-01	2.595727e+00
3.400000e-01	2.037598e+00
3.500000e-01	1.447963e+00
3.600000e-01	8.207796e-01
3.700000e-01	1.503729e-01
3.800000e-01	-5.683894e-01
3.900000e-01	-1.339928e+00
4.000000e-01	-2.167778e+00
4.100000e-01	-3.054397e+00
4.200000e-01	-4.000954e+00
4.300000e-01	-5.007072e+00
4.400000e-01	-6.070492e+00
4.500000e-01	-7.186610e+00
4.600000e-01	-8.347796e+00
4.700000e-01	-9.542369e+00
4.800000e-01	-1.075302e+01
4.900000e-01	-1.195437e+01
5.000000e-01	-1.310938e+01
5.100000e-01	-1.416400e+01
5.200000e-01	-1.503988e+01
5.300000e-01	-1.562548e+01
5.400000e-01	-1.576742e+01
5.500000e-01	-1.523853e+01
5.600000e-01	-1.385137e+01
5.700000e-01	-1.134109e+01
5.800000e-01	-7.654579e+00
5.900000e-01	-2.880422e+00
6.000000e-01	2.591700e+00
6.100000e-01	8.111144e+00
6.200000e-01	1.303323e+01
6.300000e-01	1.691784e+01
6.400000e-01	1.961652e+01
6.500000e-01	2.121502e+01
6.600000e-01	2.191638e+01
6.700000e-01	2.194640e+01
6.800000e-01	2.150433e+01
6.900000e-01	2.074743e+01
7.000000e-01	1.979264e+01
7.100000e-01	1.872446e+01
7.200000e-01	1.760334e+01
7.300000e-01	1.647257e+01
7.400000e-01	1.536316e+01
7.500000e-01	1.429694e+01
7.600000e-01	1.328824e+01
7.700000e-01	1.234449e+01
7.800000e-01	1.146607e+01
7.900000e-01	1.064544e+01
8.000000e-01	9.865723e+00
8.100000e-01	9.098986e+00
8.200000e-01	8.304322e+00
8.300000e-01	7.426619e+00
8.400000e-01	6.397171e+00
8.500000e-01	5.138238e+00
8.600000e-01	3.574040e+00
8.700000e-01	1.649873e+00
8.800000e-01	-6.424874e-01
8.900000e-01	-3.241355e+00
9.000000e-01	-6.007783e+00
9.100000e-01	-8.746460e+00
9.200000e-01	-1.125282e+01
9.300000e-01	-1.336611e+01
9.400000e-01	-1.500295e+01
9.500000e-01	-1.615947e+01
9.600000e-01	-1.688974e+01
9.700000e-01	-1.727683e+01
9.800000e-01	-1.740884e+01
9.900000e-01	-1.736448e+01
1.000000e+00	-1.720704e+01
1.010000e+00	-1.698373e+01
1.020000e+00	-1.672775e+01
1.030000e+00	-1.646124e+01
1.040000e+00	-1.619825e+01
1.050000e+00	-1.594710e+01
1.060000e+00	-1.571234e+01
1.070000e+00	-1.549610e+01
1.080000e+00	-1.529905e+01
1.090000e+00	-1.512104e+01
1.100000e+00	-1.496159e+01
1.110000e+00	-1.482008e+01
1.120000e+00	-1.469591e+01
1.130000e+00	-1.458863e+01
1.140000e+00	-1.449785e+01
1.150000e+00	-1.442326e+01
1.160000e+00	-1.436452e+01
1.170000e+00	-1.432111e+01
1.180000e+00	-1.429218e+01
1.190000e+00	-1.427633e+01
1.200000e+00	-1.427129e+01
1.210000e+00	-1.427365e+01
1.220000e+00	-1.427840e+01
1.230000e+00	-1.427860e+01
1.240000e+00	-1.426492e+01
1.250000e+00	-1.422543e+01
1.260000e+00	-1.414557e+01
1.270000e+00	-1.400860e+01
1.280000e+00	-1.379674e+01
1.290000e+00	-1.349311e+01
1.300000e+00	-1.308454e+01
1.310000e+00	-1.256484e+01
1.320000e+00	-1.193777e+01
1.330000e+00	-1.121879e+01
1.340000e+00	-1.043453e+01
1.350000e+00	-9.619795e+00
1.360000e+00	-8.812603e+00
1.370000e+00	-8.048636e+00
1.380000e+00	-7.356724e+00
1.390000e+00	-6.756293e+00
1.400000e+00	-6.256999e+00
1.410000e+00	-5.860032e+00
1.420000e+00	-5.560278e+00
1.430000e+00	-5.348631e+00
1.440000e+00	-5.213977e+00
1.450000e+00	-5.144668e+00
1.460000e+00	-5.129465e+00
1.470000e+00	-5.158056e+00
1.480000e+00	-5.221246e+00
1.490000e+00	-5.310950e+00
1.500000e+00	-5.420061e+00
1.510000e+00	-5.542257e+00
1.520000e+00	-5.671788e+00
1.530000e+00	-5.803259e+00
1.540000e+00	-5.931432e+00
1.550000e+00	-6.051042e+00
1.560000e+00	-6.156631e+00
1.570000e+00	-6.242412e+00
1.580000e+00	-6.302152e+00
1.590000e+00	-6.329084e+00
1.600000e+00	-6.315842e+00
1.610000e+00	-6.254442e+00
1.620000e+00	-6.136289e+00
1.630000e+00	-5.952240e+00
1.640000e+00	-5.692711e+00
1.650000e+00	-5.347843e+00
1.660000e+00	-4.907723e+00
1.670000e+00	-4.362673e+00
1.680000e+00	-3.703578e+00
1.690000e+00	-2.922275e+00
1.700000e+00	-2.011953e+00
1.710000e+00	-9.675684e-01
1.720000e+00	2.137738e-01
1.730000e+00	1.532499e+00
1.740000e+00	2.986351e+00
1.750000e+00	4.570333e+00
1.760000e+00	6.276839e+00
1.770000e+00	8.096022e+00
1.780000e+00	1.001641e+01
1.790000e+00	1.202584e+01
1.800000e+00	1.411258e+01
1.810000e+00	1.626684e+01
1.820000e+00	1.848242e+01
1.830000e+00	2.075860e+01
1.840000e+00	2.310212e+01
1.850000e+00	2.552921e+01
1.860000e+00	2.806721e+01
1.870000e+00	3.075517e+01
1.880000e+00	3.364127e+01
1.890000e+00	3.677257e+01
1.900000e+00	4.016528e+01
1.910000e+00	4.372878e+01
1.920000e+00	4.708522e+01
1.930000e+00	4.918500e+01
1.940000e+00	4.758828e+01
1.950000e+00	3.834204e+01
1.960000e+00	1.817418e+01
1.970000e+00	-9.239742e+00
1.980000e+00	-3.292432e+01
1.990000e+00	-4.590455e+01
2.000000e+00	-4.973143e+01
2.010000e+00	-4.862051e+01
2.020000e+00	-4.555383e+01
2.030000e+00	-4.199258e+01
2.040000e+00	-3.850944e+01
2.050000e+00	-3.527211e+01
2.060000e+00	-3.228974e+01
2.070000e+00	-2.953371e+01
2.080000e+00	-2.691986e+01
2.090000e+00	-2.442713e+01
2.100000e+00	-2.202501e+01
