"(No Title)"
	"2026-05-"	"8 15:48:46"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"  rev1_Acc"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".MODEL_1.Last_Run.rev1_Acc.TIME"	".MODEL_1.Last_Run.rev1_Acc.Q"
0.000000e+00	-1.681452e+01
1.000000e-02	-1.681440e+01
2.000000e-02	-1.681273e+01
3.000000e-02	-1.680586e+01
4.000000e-02	-1.678526e+01
5.000000e-02	-1.674010e+01
6.000000e-02	-1.667018e+01
7.000000e-02	-1.655593e+01
8.000000e-02	-1.638137e+01
9.000000e-02	-1.613159e+01
1.000000e-01	-1.578953e+01
1.100000e-01	-1.533813e+01
1.200000e-01	-1.476143e+01
1.300000e-01	-1.404569e+01
1.400000e-01	-1.318066e+01
1.500000e-01	-1.216069e+01
1.600000e-01	-1.098561e+01
1.700000e-01	-9.661171e+00
1.800000e-01	-8.198990e+00
1.900000e-01	-6.615832e+00
2.000000e-01	-4.932417e+00
2.100000e-01	-3.171829e+00
2.200000e-01	-1.357767e+00
2.300000e-01	4.871283e-01
2.400000e-01	2.342666e+00
2.500000e-01	4.192086e+00
2.600000e-01	6.022582e+00
2.700000e-01	7.825391e+00
2.800000e-01	9.595544e+00
2.900000e-01	1.133136e+01
3.000000e-01	1.303385e+01
3.100000e-01	1.470603e+01
3.200000e-01	1.635234e+01
3.300000e-01	1.797806e+01
3.400000e-01	1.958895e+01
3.500000e-01	2.119085e+01
3.600000e-01	2.278951e+01
3.700000e-01	2.439048e+01
3.800000e-01	2.599901e+01
3.900000e-01	2.762011e+01
4.000000e-01	2.925854e+01
4.100000e-01	3.091887e+01
4.200000e-01	3.260535e+01
4.300000e-01	3.432182e+01
4.400000e-01	3.607117e+01
4.500000e-01	3.785452e+01
4.600000e-01	3.966959e+01
4.700000e-01	4.150811e+01
4.800000e-01	4.335136e+01
4.900000e-01	4.516337e+01
5.000000e-01	4.688020e+01
5.100000e-01	4.839436e+01
5.200000e-01	4.953293e+01
5.300000e-01	5.003008e+01
5.400000e-01	4.949931e+01
5.500000e-01	4.754954e+01
5.600000e-01	4.326926e+01
5.700000e-01	3.619415e+01
5.800000e-01	2.592957e+01
5.900000e-01	1.278124e+01
6.000000e-01	-2.164675e+00
6.100000e-01	-1.732297e+01
6.200000e-01	-3.094458e+01
6.300000e-01	-4.188406e+01
6.400000e-01	-4.979393e+01
6.500000e-01	-5.495117e+01
6.600000e-01	-5.793168e+01
6.700000e-01	-5.935126e+01
6.800000e-01	-5.973315e+01
6.900000e-01	-5.946967e+01
7.000000e-01	-5.883147e+01
7.100000e-01	-5.799358e+01
7.200000e-01	-5.706248e+01
7.300000e-01	-5.609821e+01
7.400000e-01	-5.513016e+01
7.500000e-01	-5.416733e+01
7.600000e-01	-5.320409e+01
7.700000e-01	-5.222257e+01
7.800000e-01	-5.119233e+01
7.900000e-01	-5.006784e+01
8.000000e-01	-4.878416e+01
8.100000e-01	-4.725128e+01
8.200000e-01	-4.534814e+01
8.300000e-01	-4.291863e+01
8.400000e-01	-3.977328e+01
8.500000e-01	-3.570310e+01
8.600000e-01	-3.051271e+01
8.700000e-01	-2.407789e+01
8.800000e-01	-1.642131e+01
8.900000e-01	-7.781228e+00
9.000000e-01	1.369573e+00
9.100000e-01	1.039099e+01
9.200000e-01	1.862201e+01
9.300000e-01	2.554428e+01
9.400000e-01	3.088498e+01
9.500000e-01	3.462328e+01
9.600000e-01	3.692358e+01
9.700000e-01	3.804560e+01
9.800000e-01	3.826958e+01
9.900000e-01	3.785047e+01
1.000000e+00	3.699804e+01
1.010000e+00	3.587367e+01
1.020000e+00	3.459578e+01
1.030000e+00	3.324825e+01
1.040000e+00	3.188891e+01
1.050000e+00	3.055677e+01
1.060000e+00	2.927760e+01
1.070000e+00	2.806816e+01
1.080000e+00	2.693914e+01
1.090000e+00	2.589725e+01
1.100000e+00	2.494657e+01
1.110000e+00	2.408953e+01
1.120000e+00	2.332743e+01
1.130000e+00	2.266083e+01
1.140000e+00	2.208963e+01
1.150000e+00	2.161311e+01
1.160000e+00	2.122975e+01
1.170000e+00	2.093699e+01
1.180000e+00	2.073076e+01
1.190000e+00	2.060495e+01
1.200000e+00	2.055059e+01
1.210000e+00	2.055499e+01
1.220000e+00	2.060054e+01
1.230000e+00	2.066356e+01
1.240000e+00	2.071314e+01
1.250000e+00	2.071025e+01
1.260000e+00	2.060769e+01
1.270000e+00	2.035136e+01
1.280000e+00	1.988341e+01
1.290000e+00	1.914808e+01
1.300000e+00	1.809986e+01
1.310000e+00	1.671323e+01
1.320000e+00	1.499166e+01
1.330000e+00	1.297299e+01
1.340000e+00	1.072828e+01
1.350000e+00	8.353221e+00
1.360000e+00	5.953781e+00
1.370000e+00	3.630138e+00
1.380000e+00	1.463334e+00
