signal,frequency_hz,amplitude
u_x,304.2394014962593,0.0592336561506381
u_y,7.481296758104737,3.19003744403219
u_y,47.38154613466334,0.450350003560522
u_y,132.16957605985036,0.1880641263346724
u_y,249.37655860349125,0.0870616369201252
u_z,4.987531172069825,3.9448176746711
u_z,37.40648379052369,0.6426116382694781
u_z,99.7506234413965,0.2481642117237017
u_z,189.52618453865333,0.1279395463190019
theta_x,134.66334164588528,9.24495609027112
theta_y,4.987531172069825,5.419089998976655
theta_y,37.40648379052369,3.040823266524564
theta_y,99.7506234413965,1.8846367143254392
theta_y,189.52618453865333,1.3218079734167318
theta_z,7.481296758104737,4.379571655006993
theta_z,47.38154613466334,2.126419899002928
theta_z,132.16957605985036,1.421398992348681
theta_z,249.37655860349125,0.8920868395289515
