"(No Title)"
	"2026-05-"	"9 10:34:37"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"  rev2_acc"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".Flex_Pend_Alu.Last_Run.rev2_acc.TIME"	".Flex_Pend_Alu.Last_Run.rev2_acc.Q"
0.000000e+00	-5.060515e+03
1.000000e-02	5.525627e+00
2.000000e-02	6.486808e+00
3.000000e-02	6.252304e+00
4.000000e-02	6.063444e+00
5.000000e-02	6.022409e+00
6.000000e-02	5.946567e+00
7.000000e-02	5.840728e+00
8.000000e-02	5.725672e+00
9.000000e-02	5.596710e+00
1.000000e-01	5.451731e+00
1.100000e-01	5.291930e+00
1.200000e-01	5.117785e+00
1.300000e-01	4.929729e+00
1.400000e-01	4.728511e+00
1.500000e-01	4.514957e+00
1.600000e-01	4.289994e+00
1.700000e-01	4.054727e+00
1.800000e-01	3.810404e+00
1.900000e-01	3.558353e+00
2.000000e-01	3.299948e+00
2.100000e-01	3.036601e+00
2.200000e-01	2.769727e+00
2.300000e-01	2.500713e+00
2.400000e-01	2.230876e+00
2.500000e-01	1.961439e+00
2.600000e-01	1.693518e+00
2.700000e-01	1.428108e+00
2.800000e-01	1.166075e+00
2.900000e-01	9.081599e-01
3.000000e-01	6.549848e-01
3.100000e-01	4.070687e-01
3.200000e-01	1.648459e-01
3.300000e-01	-7.131123e-02
3.400000e-01	-3.010682e-01
3.500000e-01	-5.241015e-01
3.600000e-01	-7.400720e-01
3.700000e-01	-9.485979e-01
3.800000e-01	-1.149230e+00
3.900000e-01	-1.341426e+00
4.000000e-01	-1.524531e+00
4.100000e-01	-1.697756e+00
4.200000e-01	-1.860165e+00
4.300000e-01	-2.010659e+00
4.400000e-01	-2.147973e+00
4.500000e-01	-2.270675e+00
4.600000e-01	-2.377169e+00
4.700000e-01	-2.465722e+00
4.800000e-01	-2.534479e+00
4.900000e-01	-2.581519e+00
5.000000e-01	-2.604903e+00
5.100000e-01	-2.602751e+00
5.200000e-01	-2.573340e+00
5.300000e-01	-2.515210e+00
5.400000e-01	-2.427288e+00
5.500000e-01	-2.309023e+00
5.600000e-01	-2.160520e+00
5.700000e-01	-1.982654e+00
5.800000e-01	-1.777173e+00
5.900000e-01	-1.546741e+00
6.000000e-01	-1.294944e+00
6.100000e-01	-1.026215e+00
6.200000e-01	-7.457063e-01
6.300000e-01	-4.590836e-01
6.400000e-01	-1.722863e-01
6.500000e-01	1.087489e-01
6.600000e-01	3.783608e-01
6.700000e-01	6.314131e-01
6.800000e-01	8.634947e-01
6.900000e-01	1.071059e+00
7.000000e-01	1.251494e+00
7.100000e-01	1.403127e+00
7.200000e-01	1.525169e+00
7.300000e-01	1.617623e+00
7.400000e-01	1.681160e+00
7.500000e-01	1.716984e+00
7.600000e-01	1.726694e+00
7.700000e-01	1.712160e+00
7.800000e-01	1.675410e+00
7.900000e-01	1.618531e+00
8.000000e-01	1.543602e+00
8.100000e-01	1.452626e+00
8.200000e-01	1.347493e+00
8.300000e-01	1.229950e+00
8.400000e-01	1.101585e+00
8.500000e-01	9.638149e-01
8.600000e-01	8.178869e-01
8.700000e-01	6.648816e-01
8.800000e-01	5.057204e-01
8.900000e-01	3.411764e-01
9.000000e-01	1.718873e-01
9.100000e-01	-1.630023e-03
9.200000e-01	-1.789639e-01
9.300000e-01	-3.597909e-01
9.400000e-01	-5.438583e-01
9.500000e-01	-7.309659e-01
9.600000e-01	-9.209476e-01
9.700000e-01	-1.113653e+00
9.800000e-01	-1.308929e+00
9.900000e-01	-1.506602e+00
1.000000e+00	-1.706464e+00
1.010000e+00	-1.908251e+00
1.020000e+00	-2.111641e+00
1.030000e+00	-2.316232e+00
1.040000e+00	-2.521547e+00
1.050000e+00	-2.727019e+00
1.060000e+00	-2.932002e+00
1.070000e+00	-3.135767e+00
1.080000e+00	-3.337516e+00
1.090000e+00	-3.536387e+00
1.100000e+00	-3.731477e+00
1.110000e+00	-3.921852e+00
1.120000e+00	-4.106567e+00
1.130000e+00	-4.284687e+00
1.140000e+00	-4.455299e+00
1.150000e+00	-4.617537e+00
1.160000e+00	-4.770589e+00
1.170000e+00	-4.913712e+00
1.180000e+00	-5.046238e+00
1.190000e+00	-5.167579e+00
1.200000e+00	-5.277226e+00
1.210000e+00	-5.374750e+00
1.220000e+00	-5.459792e+00
1.230000e+00	-5.532059e+00
1.240000e+00	-5.591315e+00
