"(No Title)"
	"2026-04-"	"7 13:13:25"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"Hinge1_ang_acc"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".Rigid_Pend.Last_Run.Hinge1_ang_acc.TIME"	".Rigid_Pend.Last_Run.Hinge1_ang_acc.Q"
0.000000e+00	-2.681355e+02
1.000000e-02	-1.108492e+01
2.000000e-02	-8.804278e+00
3.000000e-02	-7.794727e+00
4.000000e-02	-2.374580e+01
5.000000e-02	-2.957340e+01
6.000000e-02	-9.304369e+00
7.000000e-02	-8.434194e+00
8.000000e-02	-2.639289e+01
9.000000e-02	-1.284670e+01
1.000000e-01	-1.633395e+01
1.100000e-01	-1.546266e+01
1.200000e-01	-1.432220e+01
1.300000e-01	-1.386187e+01
1.400000e-01	-1.308343e+01
1.500000e-01	-1.213335e+01
1.600000e-01	-1.105157e+01
1.700000e-01	-9.828447e+00
1.800000e-01	-8.465050e+00
1.900000e-01	-6.978562e+00
2.000000e-01	-5.387200e+00
2.100000e-01	-3.710860e+00
2.200000e-01	-1.971461e+00
2.300000e-01	-1.907277e-01
2.400000e-01	1.611363e+00
2.500000e-01	3.417523e+00
2.600000e-01	5.213839e+00
2.700000e-01	6.990061e+00
2.800000e-01	8.739531e+00
2.900000e-01	1.045884e+01
3.000000e-01	1.214734e+01
3.100000e-01	1.380652e+01
3.200000e-01	1.543949e+01
3.300000e-01	1.705039e+01
3.400000e-01	1.864399e+01
3.500000e-01	2.022529e+01
3.600000e-01	2.179931e+01
3.700000e-01	2.337088e+01
3.800000e-01	2.494456e+01
3.900000e-01	2.652463e+01
4.000000e-01	2.811504e+01
4.100000e-01	2.971943e+01
4.200000e-01	3.134107e+01
4.300000e-01	3.298270e+01
4.400000e-01	3.464624e+01
4.500000e-01	3.633205e+01
4.600000e-01	3.803782e+01
4.700000e-01	3.975656e+01
4.800000e-01	4.147343e+01
4.900000e-01	4.316075e+01
5.000000e-01	4.477038e+01
5.100000e-01	4.622249e+01
5.200000e-01	4.738993e+01
5.300000e-01	4.807780e+01
5.400000e-01	4.800070e+01
5.500000e-01	4.676530e+01
5.600000e-01	4.387573e+01
5.700000e-01	3.879198e+01
5.800000e-01	3.107397e+01
5.900000e-01	2.061353e+01
6.000000e-01	7.870715e+00
6.100000e-01	-6.061937e+00
6.200000e-01	-1.971177e+01
6.300000e-01	-3.171307e+01
6.400000e-01	-4.122917e+01
6.500000e-01	-4.807038e+01
6.600000e-01	-5.253002e+01
6.700000e-01	-5.512323e+01
6.800000e-01	-5.638054e+01
6.900000e-01	-5.674333e+01
7.000000e-01	-5.653766e+01
7.100000e-01	-5.598720e+01
7.200000e-01	-5.523737e+01
7.300000e-01	-5.437821e+01
7.400000e-01	-5.346210e+01
7.500000e-01	-5.251622e+01
7.600000e-01	-5.155068e+01
7.700000e-01	-5.056324e+01
7.800000e-01	-4.954151e+01
7.900000e-01	-4.846314e+01
8.000000e-01	-4.729448e+01
8.100000e-01	-4.598795e+01
8.200000e-01	-4.447853e+01
8.300000e-01	-4.268004e+01
8.400000e-01	-4.048254e+01
8.500000e-01	-3.775286e+01
8.600000e-01	-3.434166e+01
8.700000e-01	-3.010132e+01
8.800000e-01	-2.491796e+01
8.900000e-01	-1.875719e+01
9.000000e-01	-1.171380e+01
9.100000e-01	-4.044743e+00
9.200000e-01	3.840017e+00
9.300000e-01	1.144257e+01
9.400000e-01	1.828241e+01
9.500000e-01	2.400007e+01
9.600000e-01	2.841622e+01
9.700000e-01	3.153007e+01
9.800000e-01	3.347270e+01
9.900000e-01	3.444519e+01
1.000000e+00	3.466564e+01
1.010000e+00	3.433520e+01
1.020000e+00	3.362235e+01
1.030000e+00	3.265958e+01
1.040000e+00	3.154662e+01
1.050000e+00	3.035623e+01
1.060000e+00	2.914032e+01
1.070000e+00	2.793523e+01
1.080000e+00	2.676604e+01
1.090000e+00	2.564984e+01
1.100000e+00	2.459816e+01
1.110000e+00	2.361867e+01
1.120000e+00	2.271646e+01
1.130000e+00	2.189487e+01
1.140000e+00	2.115605e+01
1.150000e+00	2.050137e+01
1.160000e+00	1.993160e+01
1.170000e+00	1.944706e+01
1.180000e+00	1.904758e+01
1.190000e+00	1.873246e+01
1.200000e+00	1.850028e+01
1.210000e+00	1.834862e+01
1.220000e+00	1.827373e+01
1.230000e+00	1.827001e+01
1.240000e+00	1.832938e+01
1.250000e+00	1.844055e+01
1.260000e+00	1.858810e+01
1.270000e+00	1.875154e+01
1.280000e+00	1.890440e+01
1.290000e+00	1.901355e+01
1.300000e+00	1.903900e+01
1.310000e+00	1.893474e+01
1.320000e+00	1.865088e+01
1.330000e+00	1.813767e+01
1.340000e+00	1.735139e+01
1.350000e+00	1.626164e+01
1.360000e+00	1.485882e+01
1.370000e+00	1.315974e+01
1.380000e+00	1.120934e+01
1.390000e+00	9.076950e+00
1.400000e+00	6.847411e+00
1.410000e+00	4.609112e+00
1.420000e+00	2.441987e+00
1.430000e+00	4.084891e-01
1.440000e+00	-1.450869e+00
1.450000e+00	-3.117455e+00
1.460000e+00	-4.591184e+00
1.470000e+00	-5.885611e+00
1.480000e+00	-7.022872e+00
1.490000e+00	-8.029378e+00
1.500000e+00	-8.932616e+00
1.510000e+00	-9.759044e+00
1.520000e+00	-1.053289e+01
1.530000e+00	-1.127558e+01
1.540000e+00	-1.200562e+01
1.550000e+00	-1.273871e+01
1.560000e+00	-1.348794e+01
1.570000e+00	-1.426409e+01
1.580000e+00	-1.507587e+01
1.590000e+00	-1.593018e+01
1.600000e+00	-1.683225e+01
1.610000e+00	-1.778584e+01
1.620000e+00	-1.879334e+01
1.630000e+00	-1.985581e+01
1.640000e+00	-2.097312e+01
1.650000e+00	-2.214399e+01
1.660000e+00	-2.336608e+01
1.670000e+00	-2.463607e+01
1.680000e+00	-2.594988e+01
1.690000e+00	-2.730278e+01
1.700000e+00	-2.868974e+01
1.710000e+00	-3.010575e+01
1.720000e+00	-3.154621e+01
1.730000e+00	-3.300752e+01
1.740000e+00	-3.448760e+01
1.750000e+00	-3.598668e+01
1.760000e+00	-3.750800e+01
1.770000e+00	-3.905876e+01
1.780000e+00	-4.065106e+01
1.790000e+00	-4.230296e+01
1.800000e+00	-4.403968e+01
1.810000e+00	-4.589490e+01
1.820000e+00	-4.791226e+01
1.830000e+00	-5.014694e+01
1.840000e+00	-5.266735e+01
1.850000e+00	-5.555660e+01
1.860000e+00	-5.891308e+01
1.870000e+00	-6.284841e+01
1.880000e+00	-6.747895e+01
1.890000e+00	-7.290237e+01
1.900000e+00	-7.914108e+01
1.910000e+00	-8.601522e+01
1.920000e+00	-9.287525e+01
1.930000e+00	-9.809267e+01
1.940000e+00	-9.828009e+01
1.950000e+00	-8.774925e+01
1.960000e+00	-6.018059e+01
1.970000e+00	-1.504266e+01
1.980000e+00	3.584322e+01
1.990000e+00	7.518627e+01
2.000000e+00	9.556458e+01
2.010000e+00	1.007879e+02
2.020000e+00	9.761884e+01
2.030000e+00	9.122025e+01
2.040000e+00	8.430368e+01
2.050000e+00	7.788546e+01
2.060000e+00	7.224857e+01
2.070000e+00	6.742173e+01
2.080000e+00	6.333377e+01
2.090000e+00	5.987583e+01
2.100000e+00	5.693456e+01
2.110000e+00	5.440611e+01
2.120000e+00	5.220033e+01
2.130000e+00	5.024149e+01
2.140000e+00	4.846768e+01
2.150000e+00	4.682939e+01
2.160000e+00	4.528819e+01
2.170000e+00	4.381527e+01
2.180000e+00	4.239017e+01
2.190000e+00	4.099959e+01
2.200000e+00	3.963622e+01
2.210000e+00	3.829771e+01
2.220000e+00	3.698566e+01
2.230000e+00	3.570470e+01
2.240000e+00	3.446166e+01
2.250000e+00	3.326477e+01
2.260000e+00	3.212301e+01
2.270000e+00	3.104550e+01
2.280000e+00	3.004095e+01
2.290000e+00	2.911716e+01
2.300000e+00	2.828055e+01
2.310000e+00	2.753563e+01
2.320000e+00	2.688429e+01
2.330000e+00	2.632497e+01
2.340000e+00	2.585141e+01
2.350000e+00	2.545090e+01
2.360000e+00	2.510180e+01
2.370000e+00	2.477012e+01
2.380000e+00	2.440495e+01
2.390000e+00	2.393278e+01
2.400000e+00	2.325107e+01
2.410000e+00	2.222281e+01
2.420000e+00	2.067516e+01
2.430000e+00	1.840829e+01
2.440000e+00	1.522282e+01
2.450000e+00	1.097314e+01
2.460000e+00	5.644630e+00
2.470000e+00	-5.688307e-01
2.480000e+00	-7.234698e+00
2.490000e+00	-1.374560e+01
2.500000e+00	-1.947581e+01
2.510000e+00	-2.395941e+01
2.520000e+00	-2.699641e+01
2.530000e+00	-2.864586e+01
2.540000e+00	-2.913831e+01
2.550000e+00	-2.877075e+01
2.560000e+00	-2.782862e+01
2.570000e+00	-2.654667e+01
2.580000e+00	-2.509961e+01
2.590000e+00	-2.360852e+01
2.600000e+00	-2.215258e+01
2.610000e+00	-2.078061e+01
2.620000e+00	-1.952061e+01
2.630000e+00	-1.838681e+01
2.640000e+00	-1.738465e+01
2.650000e+00	-1.651421e+01
2.660000e+00	-1.577241e+01
2.670000e+00	-1.515456e+01
2.680000e+00	-1.465520e+01
2.690000e+00	-1.426871e+01
2.700000e+00	-1.398967e+01
2.710000e+00	-1.381299e+01
2.720000e+00	-1.373405e+01
2.730000e+00	-1.374872e+01
2.740000e+00	-1.385335e+01
2.750000e+00	-1.404475e+01
2.760000e+00	-1.432017e+01
2.770000e+00	-1.467726e+01
2.780000e+00	-1.511404e+01
2.790000e+00	-1.562887e+01
2.800000e+00	-1.622045e+01
2.810000e+00	-1.688779e+01
2.820000e+00	-1.763025e+01
2.830000e+00	-1.844756e+01
2.840000e+00	-1.933987e+01
2.850000e+00	-2.030785e+01
2.860000e+00	-2.135280e+01
2.870000e+00	-2.247677e+01
2.880000e+00	-2.368281e+01
2.890000e+00	-2.497519e+01
2.900000e+00	-2.635970e+01
2.910000e+00	-2.784405e+01
2.920000e+00	-2.943829e+01
2.930000e+00	-3.115538e+01
2.940000e+00	-3.301170e+01
2.950000e+00	-3.502780e+01
2.960000e+00	-3.722893e+01
2.970000e+00	-3.964559e+01
2.980000e+00	-4.231362e+01
2.990000e+00	-4.527339e+01
3.000000e+00	-4.856710e+01
3.010000e+00	-5.223232e+01
3.020000e+00	-5.628812e+01
3.030000e+00	-6.070731e+01
3.040000e+00	-6.536336e+01
3.050000e+00	-6.993372e+01
3.060000e+00	-7.373789e+01
3.070000e+00	-7.550570e+01
3.080000e+00	-7.316266e+01
3.090000e+00	-6.395868e+01
3.100000e+00	-4.556464e+01
3.110000e+00	-1.836972e+01
3.120000e+00	1.281114e+01
3.130000e+00	4.072778e+01
3.140000e+00	6.038938e+01
3.150000e+00	7.120874e+01
3.160000e+00	7.538025e+01
3.170000e+00	7.560731e+01
3.180000e+00	7.393115e+01
3.190000e+00	7.155125e+01
3.200000e+00	6.907597e+01
3.210000e+00	6.678670e+01
3.220000e+00	6.479562e+01
3.230000e+00	6.312805e+01
3.240000e+00	6.176725e+01
3.250000e+00	6.067913e+01
3.260000e+00	5.982553e+01
3.270000e+00	5.917142e+01
3.280000e+00	5.868876e+01
3.290000e+00	5.835860e+01
3.300000e+00	5.817224e+01
3.310000e+00	5.813172e+01
3.320000e+00	5.825013e+01
3.330000e+00	5.855156e+01
3.340000e+00	5.907087e+01
3.350000e+00	5.985309e+01
3.360000e+00	6.095210e+01
3.370000e+00	6.242768e+01
3.380000e+00	6.433940e+01
3.390000e+00	6.673388e+01
3.400000e+00	6.961923e+01
3.410000e+00	7.291490e+01
3.420000e+00	7.635770e+01
3.430000e+00	7.933728e+01
3.440000e+00	8.064526e+01
3.450000e+00	7.820532e+01
3.460000e+00	6.910866e+01
3.470000e+00	5.067487e+01
3.480000e+00	2.300182e+01
3.490000e+00	-8.826540e+00
3.500000e+00	-3.675965e+01
3.510000e+00	-5.529964e+01
3.520000e+00	-6.404965e+01
3.530000e+00	-6.568520e+01
3.540000e+00	-6.329257e+01
3.550000e+00	-5.910060e+01
3.560000e+00	-5.435365e+01
3.570000e+00	-4.964565e+01
3.580000e+00	-4.523376e+01
3.590000e+00	-4.121074e+01
3.600000e+00	-3.758863e+01
3.610000e+00	-3.434225e+01
3.620000e+00	-3.143201e+01
3.630000e+00	-2.881512e+01
3.640000e+00	-2.645081e+01
3.650000e+00	-2.430251e+01
3.660000e+00	-2.233851e+01
3.670000e+00	-2.053184e+01
3.680000e+00	-1.885989e+01
3.690000e+00	-1.730388e+01
3.700000e+00	-1.584830e+01
3.710000e+00	-1.448043e+01
3.720000e+00	-1.318988e+01
3.730000e+00	-1.196823e+01
3.740000e+00	-1.080866e+01
3.750000e+00	-9.705712e+00
3.760000e+00	-8.655007e+00
3.770000e+00	-7.653073e+00
3.780000e+00	-6.697159e+00
3.790000e+00	-5.785101e+00
3.800000e+00	-4.915195e+00
3.810000e+00	-4.086103e+00
3.820000e+00	-3.296774e+00
3.830000e+00	-2.546373e+00
3.840000e+00	-1.834236e+00
3.850000e+00	-1.159820e+00
3.860000e+00	-5.226785e-01
3.870000e+00	7.756979e-02
3.880000e+00	6.412587e-01
3.890000e+00	1.168690e+00
3.900000e+00	1.660146e+00
3.910000e+00	2.115891e+00
3.920000e+00	2.536181e+00
3.930000e+00	2.921259e+00
3.940000e+00	3.271357e+00
3.950000e+00	3.586686e+00
3.960000e+00	3.867443e+00
3.970000e+00	4.113804e+00
3.980000e+00	4.325937e+00
3.990000e+00	4.504019e+00
4.000000e+00	4.648261e+00
4.010000e+00	4.758953e+00
4.020000e+00	4.836520e+00
4.030000e+00	4.881594e+00
4.040000e+00	4.895111e+00
4.050000e+00	4.878426e+00
4.060000e+00	4.833454e+00
4.070000e+00	4.762846e+00
4.080000e+00	4.670187e+00
4.090000e+00	4.560220e+00
4.100000e+00	4.439077e+00
4.110000e+00	4.314494e+00
4.120000e+00	4.195968e+00
4.130000e+00	4.094832e+00
4.140000e+00	4.024177e+00
4.150000e+00	3.998616e+00
4.160000e+00	4.033831e+00
4.170000e+00	4.145904e+00
4.180000e+00	4.350428e+00
4.190000e+00	4.661437e+00
4.200000e+00	5.090214e+00
4.210000e+00	5.644095e+00
4.220000e+00	6.325392e+00
4.230000e+00	7.130615e+00
4.240000e+00	8.050103e+00
4.250000e+00	9.068200e+00
4.260000e+00	1.016401e+01
4.270000e+00	1.131277e+01
4.280000e+00	1.248768e+01
4.290000e+00	1.366221e+01
4.300000e+00	1.481246e+01
4.310000e+00	1.591952e+01
4.320000e+00	1.697138e+01
4.330000e+00	1.796422e+01
4.340000e+00	1.890295e+01
4.350000e+00	1.980097e+01
4.360000e+00	2.067941e+01
4.370000e+00	2.156591e+01
4.380000e+00	2.249352e+01
4.390000e+00	2.349971e+01
4.400000e+00	2.462601e+01
4.410000e+00	2.591821e+01
4.420000e+00	2.742738e+01
4.430000e+00	2.921183e+01
4.440000e+00	3.134000e+01
4.450000e+00	3.389469e+01
4.460000e+00	3.697880e+01
4.470000e+00	4.072325e+01
4.480000e+00	4.529762e+01
4.490000e+00	5.092429e+01
4.500000e+00	5.789630e+01
4.510000e+00	6.659688e+01
4.520000e+00	7.751103e+01
4.530000e+00	9.119573e+01
4.540000e+00	1.081049e+02
4.550000e+00	1.279643e+02
4.560000e+00	1.478966e+02
4.570000e+00	1.578065e+02
