"(No Title)"
	"2026-05-"	"9 09:42:20"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"  rev1_acc"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".Flex_Pend_Alu.Last_Run.rev1_acc.TIME"	".Flex_Pend_Alu.Last_Run.rev1_acc.Q"
0.000000e+00	1.904774e+03
1.000000e-02	-8.183560e+00
2.000000e-02	-7.862983e+00
3.000000e-02	-7.842640e+00
4.000000e-02	-7.721224e+00
5.000000e-02	-7.538576e+00
6.000000e-02	-7.325383e+00
7.000000e-02	-7.071993e+00
8.000000e-02	-6.777914e+00
9.000000e-02	-6.444424e+00
1.000000e-01	-6.071635e+00
1.100000e-01	-5.660109e+00
1.200000e-01	-5.210866e+00
1.300000e-01	-4.725295e+00
1.400000e-01	-4.205197e+00
1.500000e-01	-3.652832e+00
1.600000e-01	-3.070929e+00
1.700000e-01	-2.462662e+00
1.800000e-01	-1.831603e+00
1.900000e-01	-1.181658e+00
2.000000e-01	-5.169962e-01
2.100000e-01	1.580378e-01
2.200000e-01	8.390143e-01
2.300000e-01	1.521520e+00
2.400000e-01	2.201254e+00
2.500000e-01	2.874108e+00
2.600000e-01	3.536237e+00
2.700000e-01	4.184109e+00
2.800000e-01	4.814544e+00
2.900000e-01	5.424727e+00
3.000000e-01	6.012206e+00
3.100000e-01	6.574874e+00
3.200000e-01	7.110931e+00
3.300000e-01	7.618842e+00
3.400000e-01	8.097284e+00
3.500000e-01	8.545084e+00
3.600000e-01	8.961159e+00
3.700000e-01	9.344446e+00
3.800000e-01	9.693845e+00
3.900000e-01	1.000815e+01
4.000000e-01	1.028600e+01
4.100000e-01	1.052581e+01
4.200000e-01	1.072574e+01
4.300000e-01	1.088363e+01
4.400000e-01	1.099701e+01
4.500000e-01	1.106303e+01
4.600000e-01	1.107849e+01
4.700000e-01	1.103988e+01
4.800000e-01	1.094337e+01
4.900000e-01	1.078494e+01
5.000000e-01	1.056044e+01
5.100000e-01	1.026583e+01
5.200000e-01	9.897284e+00
5.300000e-01	9.451526e+00
5.400000e-01	8.926068e+00
5.500000e-01	8.319556e+00
5.600000e-01	7.632096e+00
5.700000e-01	6.865575e+00
5.800000e-01	6.023938e+00
5.900000e-01	5.113371e+00
6.000000e-01	4.142370e+00
6.100000e-01	3.121656e+00
6.200000e-01	2.063919e+00
6.300000e-01	9.834089e-01
6.400000e-01	-1.046317e-01
6.500000e-01	-1.184615e+00
6.600000e-01	-2.241299e+00
6.700000e-01	-3.260447e+00
6.800000e-01	-4.229397e+00
6.900000e-01	-5.137492e+00
7.000000e-01	-5.976342e+00
7.100000e-01	-6.739927e+00
7.200000e-01	-7.424529e+00
7.300000e-01	-8.028555e+00
