"(No Title)"
	"2026-05-"	"4 15:31:57"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"REV1_Ang_Acc"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".MODEL_1.Last_Run.REV1_Ang_Acc.TIME"	".MODEL_1.Last_Run.REV1_Ang_Acc.Q"
0.000000e+00	-5.055862e+02
1.000000e-02	-1.107127e+01
2.000000e-02	-9.719944e+00
3.000000e-02	-9.308656e+00
4.000000e-02	-2.495318e+01
5.000000e-02	-3.126201e+01
6.000000e-02	-9.991095e+00
7.000000e-02	-1.524639e+01
8.000000e-02	-1.596796e+01
9.000000e-02	-1.574400e+01
1.000000e-01	-1.527085e+01
1.100000e-01	-1.498009e+01
1.200000e-01	-1.454217e+01
1.300000e-01	-1.384393e+01
1.400000e-01	-1.306572e+01
1.500000e-01	-1.213755e+01
1.600000e-01	-1.105522e+01
1.700000e-01	-9.828845e+00
1.800000e-01	-8.466357e+00
1.900000e-01	-6.980473e+00
2.000000e-01	-5.389087e+00
2.100000e-01	-3.712847e+00
2.200000e-01	-1.973580e+00
2.300000e-01	-1.929114e-01
2.400000e-01	1.609152e+00
2.500000e-01	3.415311e+00
2.600000e-01	5.211651e+00
2.700000e-01	6.987919e+00
2.800000e-01	8.737450e+00
2.900000e-01	1.045683e+01
3.000000e-01	1.214540e+01
3.100000e-01	1.380466e+01
3.200000e-01	1.543770e+01
3.300000e-01	1.704867e+01
3.400000e-01	1.864233e+01
3.500000e-01	2.022368e+01
3.600000e-01	2.179774e+01
3.700000e-01	2.336934e+01
3.800000e-01	2.494305e+01
3.900000e-01	2.652314e+01
4.000000e-01	2.811355e+01
4.100000e-01	2.971793e+01
4.200000e-01	3.133954e+01
4.300000e-01	3.298115e+01
4.400000e-01	3.464463e+01
4.500000e-01	3.633038e+01
4.600000e-01	3.803605e+01
4.700000e-01	3.975467e+01
4.800000e-01	4.147140e+01
4.900000e-01	4.315854e+01
5.000000e-01	4.476793e+01
5.100000e-01	4.621977e+01
5.200000e-01	4.738689e+01
5.300000e-01	4.807441e+01
5.400000e-01	4.799696e+01
5.500000e-01	4.676128e+01
5.600000e-01	4.387164e+01
5.700000e-01	3.878820e+01
5.800000e-01	3.107116e+01
5.900000e-01	2.061251e+01
6.000000e-01	7.872310e+00
6.100000e-01	-6.057383e+00
6.200000e-01	-1.970470e+01
6.300000e-01	-3.170464e+01
6.400000e-01	-4.122076e+01
6.500000e-01	-4.806294e+01
6.600000e-01	-5.252393e+01
6.700000e-01	-5.511842e+01
6.800000e-01	-5.637680e+01
6.900000e-01	-5.674040e+01
7.000000e-01	-5.653534e+01
7.100000e-01	-5.598532e+01
7.200000e-01	-5.523581e+01
7.300000e-01	-5.437688e+01
7.400000e-01	-5.346092e+01
7.500000e-01	-5.251513e+01
7.600000e-01	-5.154964e+01
7.700000e-01	-5.056219e+01
7.800000e-01	-4.954041e+01
7.900000e-01	-4.846196e+01
8.000000e-01	-4.729317e+01
8.100000e-01	-4.598646e+01
8.200000e-01	-4.447678e+01
8.300000e-01	-4.267799e+01
8.400000e-01	-4.048014e+01
8.500000e-01	-3.775005e+01
8.600000e-01	-3.433845e+01
8.700000e-01	-3.009774e+01
8.800000e-01	-2.491415e+01
8.900000e-01	-1.875338e+01
9.000000e-01	-1.171032e+01
9.100000e-01	-4.041964e+00
9.200000e-01	3.841794e+00
9.300000e-01	1.144321e+01
9.400000e-01	1.828197e+01
9.500000e-01	2.399881e+01
9.600000e-01	2.841446e+01
9.700000e-01	3.152811e+01
9.800000e-01	3.347076e+01
9.900000e-01	3.444341e+01
1.000000e+00	3.466407e+01
1.010000e+00	3.433388e+01
1.020000e+00	3.362128e+01
1.030000e+00	3.265874e+01
1.040000e+00	3.154598e+01
1.050000e+00	3.035579e+01
1.060000e+00	2.914005e+01
1.070000e+00	2.793512e+01
1.080000e+00	2.676608e+01
1.090000e+00	2.565002e+01
1.100000e+00	2.459845e+01
1.110000e+00	2.361908e+01
1.120000e+00	2.271698e+01
1.130000e+00	2.189549e+01
1.140000e+00	2.115677e+01
1.150000e+00	2.050219e+01
1.160000e+00	1.993252e+01
1.170000e+00	1.944806e+01
1.180000e+00	1.904867e+01
1.190000e+00	1.873364e+01
