"(No Title)"
	"2026-04-"	"8 11:14:46"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"JOINT_1_Hinge2"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".pendulum.Last_Run.JOINT_1_Hinge2.TIME"	".pendulum.Last_Run.JOINT_1_Hinge2.Q"
0.000000e+00	1.260855e+01
1.000000e-02	1.260852e+01
2.000000e-02	1.260783e+01
3.000000e-02	1.260608e+01
4.000000e-02	1.260090e+01
5.000000e-02	1.258939e+01
6.000000e-02	1.256915e+01
7.000000e-02	1.253582e+01
8.000000e-02	1.248512e+01
9.000000e-02	1.241225e+01
1.000000e-01	1.231216e+01
1.100000e-01	1.217985e+01
1.200000e-01	1.201070e+01
1.300000e-01	1.180081e+01
1.400000e-01	1.154742e+01
1.500000e-01	1.124927e+01
1.600000e-01	1.090681e+01
1.700000e-01	1.052240e+01
1.800000e-01	1.010016e+01
1.900000e-01	9.645778e+00
2.000000e-01	9.165998e+00
2.100000e-01	8.668071e+00
2.200000e-01	8.159125e+00
2.300000e-01	7.645563e+00
2.400000e-01	7.132581e+00
2.500000e-01	6.623826e+00
2.600000e-01	6.121224e+00
2.700000e-01	5.624968e+00
2.800000e-01	5.133617e+00
2.900000e-01	4.644300e+00
3.000000e-01	4.152951e+00
3.100000e-01	3.654576e+00
3.200000e-01	3.143512e+00
3.300000e-01	2.613670e+00
3.400000e-01	2.058760e+00
3.500000e-01	1.472496e+00
3.600000e-01	8.487873e-01
3.700000e-01	1.819098e-01
3.800000e-01	-5.333169e-01
3.900000e-01	-1.301361e+00
4.000000e-01	-2.125802e+00
4.100000e-01	-3.009140e+00
4.200000e-01	-3.952583e+00
4.300000e-01	-4.955793e+00
4.400000e-01	-6.016552e+00
4.500000e-01	-7.130313e+00
4.600000e-01	-8.289544e+00
4.700000e-01	-9.482740e+00
4.800000e-01	-1.069292e+01
4.900000e-01	-1.189530e+01
5.000000e-01	-1.305387e+01
5.100000e-01	-1.411628e+01
5.200000e-01	-1.500684e+01
5.300000e-01	-1.561783e+01
5.400000e-01	-1.580063e+01
5.500000e-01	-1.536180e+01
5.600000e-01	-1.407415e+01
5.700000e-01	-1.171830e+01
5.800000e-01	-8.166924e+00
5.900000e-01	-3.498320e+00
6.000000e-01	1.922680e+00
6.100000e-01	7.486160e+00
6.200000e-01	1.252693e+01
6.300000e-01	1.655692e+01
6.400000e-01	1.938566e+01
6.500000e-01	2.108103e+01
6.600000e-01	2.184849e+01
6.700000e-01	2.192331e+01
6.800000e-01	2.151255e+01
6.900000e-01	2.077756e+01
7.000000e-01	1.983685e+01
7.100000e-01	1.877544e+01
7.200000e-01	1.765415e+01
7.300000e-01	1.651679e+01
7.400000e-01	1.539518e+01
7.500000e-01	1.431216e+01
7.600000e-01	1.328330e+01
7.700000e-01	1.231754e+01
7.800000e-01	1.141708e+01
7.900000e-01	1.057673e+01
8.000000e-01	9.782653e+00
8.100000e-01	9.010849e+00
8.200000e-01	8.225443e+00
8.300000e-01	7.377357e+00
8.400000e-01	6.404370e+00
8.500000e-01	5.234210e+00
8.600000e-01	3.792891e+00
8.700000e-01	2.020244e+00
8.800000e-01	-1.077458e-01
8.900000e-01	-2.555194e+00
9.000000e-01	-5.212725e+00
9.100000e-01	-7.907153e+00
9.200000e-01	-1.043864e+01
9.300000e-01	-1.263237e+01
9.400000e-01	-1.438027e+01
9.500000e-01	-1.565452e+01
9.600000e-01	-1.649299e+01
9.700000e-01	-1.697125e+01
9.800000e-01	-1.717595e+01
9.900000e-01	-1.718743e+01
1.000000e+00	-1.707162e+01
1.010000e+00	-1.687846e+01
1.020000e+00	-1.664359e+01
1.030000e+00	-1.639121e+01
1.040000e+00	-1.613702e+01
1.050000e+00	-1.589069e+01
1.060000e+00	-1.565779e+01
1.070000e+00	-1.544120e+01
1.080000e+00	-1.524216e+01
1.090000e+00	-1.506094e+01
1.100000e+00	-1.489733e+01
1.110000e+00	-1.475091e+01
1.120000e+00	-1.462124e+01
1.130000e+00	-1.450796e+01
1.140000e+00	-1.441080e+01
1.150000e+00	-1.432960e+01
1.160000e+00	-1.426416e+01
1.170000e+00	-1.421425e+01
1.180000e+00	-1.417938e+01
1.190000e+00	-1.415864e+01
1.200000e+00	-1.415049e+01
1.210000e+00	-1.415244e+01
1.220000e+00	-1.416073e+01
1.230000e+00	-1.416993e+01
1.240000e+00	-1.417254e+01
1.250000e+00	-1.415866e+01
1.260000e+00	-1.411574e+01
1.270000e+00	-1.402870e+01
1.280000e+00	-1.388050e+01
1.290000e+00	-1.365348e+01
1.300000e+00	-1.333145e+01
1.310000e+00	-1.290269e+01
1.320000e+00	-1.236312e+01
1.330000e+00	-1.171919e+01
1.340000e+00	-1.098908e+01
1.350000e+00	-1.020172e+01
1.360000e+00	-9.393141e+00
1.370000e+00	-8.601275e+00
1.380000e+00	-7.860439e+00
1.390000e+00	-7.197149e+00
1.400000e+00	-6.628112e+00
1.410000e+00	-6.160379e+00
1.420000e+00	-5.793018e+00
1.430000e+00	-5.519454e+00
1.440000e+00	-5.329773e+00
1.450000e+00	-5.212586e+00
1.460000e+00	-5.156342e+00
