"(No Title)"
	"2026-04-"	"8 11:14:46"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"JOINT_2_Hinge1"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".pendulum.Last_Run.JOINT_2_Hinge1.TIME"	".pendulum.Last_Run.JOINT_2_Hinge1.Q"
0.000000e+00	-1.681140e+01
1.000000e-02	-1.681132e+01
2.000000e-02	-1.680892e+01
3.000000e-02	-1.680375e+01
4.000000e-02	-1.678726e+01
5.000000e-02	-1.674986e+01
6.000000e-02	-1.668317e+01
7.000000e-02	-1.657267e+01
8.000000e-02	-1.640384e+01
9.000000e-02	-1.616025e+01
1.000000e-01	-1.582465e+01
1.100000e-01	-1.537973e+01
1.200000e-01	-1.480921e+01
1.300000e-01	-1.409901e+01
1.400000e-01	-1.323853e+01
1.500000e-01	-1.222181e+01
1.600000e-01	-1.104843e+01
1.700000e-01	-9.724069e+00
1.800000e-01	-8.260363e+00
1.900000e-01	-6.674276e+00
2.000000e-01	-4.986850e+00
2.100000e-01	-3.221574e+00
2.200000e-01	-1.402581e+00
2.300000e-01	4.470861e-01
2.400000e-01	2.306905e+00
2.500000e-01	4.159884e+00
2.600000e-01	5.993092e+00
2.700000e-01	7.797732e+00
2.800000e-01	9.568869e+00
2.900000e-01	1.130491e+01
3.000000e-01	1.300696e+01
3.100000e-01	1.467815e+01
3.200000e-01	1.632300e+01
3.300000e-01	1.794688e+01
3.400000e-01	1.955555e+01
3.500000e-01	2.115488e+01
3.600000e-01	2.275058e+01
3.700000e-01	2.434812e+01
3.800000e-01	2.595267e+01
3.900000e-01	2.756908e+01
4.000000e-01	2.920194e+01
4.100000e-01	3.085557e+01
4.200000e-01	3.253401e+01
4.300000e-01	3.424079e+01
4.400000e-01	3.597853e+01
4.500000e-01	3.774809e+01
4.600000e-01	3.954705e+01
4.700000e-01	4.136716e+01
4.800000e-01	4.319018e+01
4.900000e-01	4.498125e+01
5.000000e-01	4.667887e+01
5.100000e-01	4.817986e+01
5.200000e-01	4.931857e+01
5.300000e-01	4.984030e+01
5.400000e-01	4.937351e+01
5.500000e-01	4.741428e+01
5.600000e-01	4.335175e+01
5.700000e-01	3.657840e+01
5.800000e-01	2.672077e+01
5.900000e-01	1.395383e+01
6.000000e-01	-7.749528e-01
6.100000e-01	-1.586226e+01
6.200000e-01	-2.957365e+01
6.300000e-01	-4.067382e+01
6.400000e-01	-4.873536e+01
6.500000e-01	-5.400813e+01
6.600000e-01	-5.707879e+01
6.700000e-01	-5.858040e+01
6.800000e-01	-5.904412e+01
6.900000e-01	-5.886118e+01
7.000000e-01	-5.829771e+01
7.100000e-01	-5.752474e+01
7.200000e-01	-5.664670e+01
7.300000e-01	-5.572337e+01
7.400000e-01	-5.478518e+01
7.500000e-01	-5.384296e+01
7.600000e-01	-5.289358e+01
7.700000e-01	-5.192239e+01
7.800000e-01	-5.090324e+01
7.900000e-01	-4.979645e+01
8.000000e-01	-4.854509e+01
8.100000e-01	-4.706992e+01
8.200000e-01	-4.526393e+01
8.300000e-01	-4.298792e+01
8.400000e-01	-4.007042e+01
8.500000e-01	-3.631690e+01
8.600000e-01	-3.153494e+01
8.700000e-01	-2.558106e+01
8.800000e-01	-1.842761e+01
8.900000e-01	-1.023317e+01
9.000000e-01	-1.381042e+00
9.100000e-01	7.553525e+00
9.200000e-01	1.591979e+01
9.300000e-01	2.315146e+01
9.400000e-01	2.889548e+01
9.500000e-01	3.305367e+01
9.600000e-01	3.573813e+01
9.700000e-01	3.718423e+01
9.800000e-01	3.766759e+01
9.900000e-01	3.744869e+01
1.000000e+00	3.674632e+01
1.010000e+00	3.573118e+01
1.020000e+00	3.452997e+01
1.030000e+00	3.323355e+01
1.040000e+00	3.190543e+01
1.050000e+00	3.058907e+01
1.060000e+00	2.931376e+01
1.070000e+00	2.809895e+01
1.080000e+00	2.695734e+01
1.090000e+00	2.589717e+01
1.100000e+00	2.492366e+01
1.110000e+00	2.404010e+01
1.120000e+00	2.324847e+01
1.130000e+00	2.254989e+01
