signal,frequency_hz,amplitude_norm,amplitude
u_x,304.2394014962593,5.753592726335539e-06,0.05923365615063815
u_y,7.481296758104737,1.0,3.19003744403219
u_y,47.38154613466334,0.485531478077742,0.450350003560522
u_y,132.16957605985036,0.3245520576706745,0.18806412633467243
u_y,249.37655860349125,0.20369271467657427,0.08706163692012525
u_z,4.987531172069825,0.39392358251185094,3.9448176746710995
u_z,37.40648379052369,0.0020424824012802802,0.6426116382694781
u_z,99.7506234413965,2.446802375525075e-05,0.24816421172370173
u_z,189.52618453865335,6.9841053807180995e-06,0.12793954631900195
theta_x,134.66334164588528,0.1609786768556189,9.24495609027112
theta_y,4.987531172069825,0.39392358251185094,5.419089998976655
theta_y,37.40648379052369,0.0020424824012802802,3.0408232665245634
theta_y,99.7506234413965,2.446802375525075e-05,1.8846367143254392
theta_y,189.52618453865335,6.9841053807180995e-06,1.3218079734167318
theta_z,7.481296758104737,1.0,4.379571655006993
theta_z,47.38154613466334,0.485531478077742,2.126419899002928
theta_z,132.16957605985036,0.3245520576706745,1.421398992348681
theta_z,249.37655860349125,0.20369271467657427,0.8920868395289515
