signal,frequency_hz,amplitude_norm,amplitude
u_x,304.49251247920137,1.0,0.087391271984327
u_y,8.319467554076539,1.0,4.629835095274065
u_y,48.25291181364393,0.1649334789204254,0.7636148090914306
u_y,131.44758735440934,0.05426764627505726,0.251250253262179
u_y,247.92013311148088,0.03058469597802186,0.14160209881733316
u_z,6.655574043261232,1.0,5.671520537312267
u_z,36.605657237936775,0.18300336495934602,1.037907342764183
u_z,99.83361064891848,0.06560708792624217,0.3720919465669341
u_z,189.6838602329451,0.03218480907243743,0.18253680564380306
theta_x,134.77537437603993,1.0,13.89163975759977
theta_y,6.655574043261232,1.0,7.791741608667986
theta_y,36.605657237936775,0.6302240173284325,4.9105426985998415
theta_y,99.83361064891848,0.3626832585512001,2.825934236420675
theta_y,189.6838602329451,0.24203629586814127,1.8858842773236717
theta_z,8.319467554076539,1.0,6.356394668946601
theta_z,48.25291181364393,0.5673415532851509,3.6062468247736175
theta_z,131.44758735440934,0.29874164712292334,1.8989198131644764
theta_z,247.92013311148088,0.22826674595655902,1.4509535270960598
