frequency_hz,amplitude,amplitude_normalized
0.0,0.1548770367019125,0.06240470713237925
2.2123893805309733,0.07572336394746648,0.03051126526468374
4.424778761061947,0.002000068330516699,0.0008058888591138704
6.63716814159292,0.00237812356136987,0.000958218904055677
8.849557522123893,0.0033126068310350694,0.0013347508677696034
11.061946902654867,0.005179882948898816,0.002087133672554596
13.27433628318584,0.00919279512415719,0.0037040590372033467
15.486725663716813,0.019397172133304632,0.007815715434335116
17.699115044247787,0.054885299865317906,0.022114970281618795
19.91150442477876,0.32162423789382244,0.1295922675165105
22.123893805309734,2.1308683845234375,0.8585922116379772
24.336283185840706,2.4818165779285124,1.0
26.54867256637168,0.649493586507373,0.2617008816378699
28.761061946902654,0.07280158109715369,0.029333989362710554
30.973451327433626,0.022795626722963855,0.009185056996432262
33.1858407079646,0.010004000181610614,0.004030918429097049
35.39823008849557,0.0052497322489196835,0.0021152780973449116
37.610619469026545,0.0030818085436354094,0.0012417551607329862
39.82300884955752,0.001954297950709012,0.000787446569617243
42.0353982300885,0.0013111017188074028,0.0005282830852478771
44.24778761061947,0.0009180136444095412,0.00036989584668492136
46.46017699115044,0.0006645253231046909,0.00026775762923597987
48.67256637168141,0.0004937805032622101,0.00019895930571724678
50.884955752212385,0.00037443711218943177,0.00015087219398863137
53.09734513274336,0.000288185585352384,0.00011611880906723682
55.309734513274336,0.00022374314693595295,9.015297460971258e-05
57.52212389380531,0.00017374133025722455,7.000570944781121e-05
59.73451327433628,0.0001329671066478599,5.357652448225767e-05
61.94690265486725,9.722160195798272e-05,3.917356456661688e-05
64.15929203539822,6.244407598554528e-05,2.5160632957680223e-05
66.3716814159292,2.5984283493213863e-05,1.0469864583990351e-05
68.58407079646017,4.537174851699675e-05,1.8281668726246883e-05
70.79646017699115,0.0001462482663663711,5.892791097738558e-05
73.00884955752213,0.0003736913036172988,0.00015057168484594705
75.22123893805309,0.0010373504332417858,0.00041798029816837907
77.43362831858407,0.004179768256586832,0.0016841567961785242
79.64601769911503,0.13789068103283267,0.055560383575133224
81.85840707964601,0.32079124321018504,0.12925662841608485
84.070796460177,0.18748054855739532,0.0755416617910897
86.28318584070796,0.007304509321205682,0.0029432107860696563
88.49557522123894,0.0017540380991887144,0.0007067557348064579
90.7079646017699,0.000712280184537693,0.00028699952723025524
92.92035398230088,0.0003678666662877809,0.00014822475986312682
95.13274336283186,0.00021890206415942868,8.820235391534807e-05
97.34513274336283,0.00014306545853668667,5.764546010732934e-05
99.5575221238938,9.992526570098369e-05,4.0262953591996675e-05
101.76991150442477,7.331495412070484e-05,2.9540843095624068e-05
103.98230088495575,5.585416576851364e-05,2.2505356062668098e-05
106.19469026548671,4.382487030289099e-05,1.7658384061351592e-05
108.40707964601769,3.520509431603458e-05,1.4185212005239756e-05
110.61946902654867,2.882564082953859e-05,1.1614734580263933e-05
