Node  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
5676;514,706  ;5,48405  ;13,2358  ;-2,64609e+01
7169;514,706  ;5,13724  ;-13,2557  ;-2,64609e+01
2909;514,706  ;-13,4176  ;11,5357  ;-2,64654e+01
5660;514,706  ;14,4035  ;11,537  ;-2,64659e+01
3373;514,706  ;15,2139  ;-11,5085  ;-2,64666e+01
2906;514,706  ;-20;14,9057  ;-2,64683e+01
8006;514,706  ;20;-14,9057  ;-2,64684e+01
11075;514,706  ;-20;-14,9057  ;-2,64684e+01
12850;514,706  ;20;14,9057  ;-2,64684e+01
4606;514,706  ;-20;-5,09427  ;-2,64729e+01
11640;514,706  ;20;5,09427  ;-2,64729e+01
12875;514,706  ;-20;4,7172  ;-2,64730e+01
13579;514,706  ;20;-4,7172  ;-2,64730e+01
11047;514,705  ;-11,5637  ;-14,689  ;-2,64623e+01
11058;514,705  ;-16,6579  ;-9,59468  ;-2,64685e+01
5308;514,703  ;-3,41951  ;6,58161  ;-2,64633e+01
5677;514,703  ;4,40159  ;6,58293  ;-2,64634e+01
3352;514,703  ;4,99713  ;0,0434981  ;-2,64646e+01
6276;514,702  ;-6,65991  ;-4,73732  ;-2,64644e+01
5665;514,365  ;9,68596  ;9,34458  ;-2,64329e+01
3345;514,365  ;10,2815  ;2,80515  ;-2,64351e+01
3343;514,365  ;15,2824  ;2,90182  ;-2,64380e+01
7520;513,632  ;-11,3324  ;-0,569425  ;-2,63680e+01
6278;513,149  ;-4,86677  ;-9,30373  ;-2,63190e+01
6434;512,693  ;-7,20819  ;-12,6548  ;-2,62759e+01
1731;512,63  ;11,8577  ;-4,61662  ;-2,62754e+01
6279;512,414  ;-10,6264  ;-10,6411  ;-2,62527e+01
3375;512,198  ;15,9288  ;-7,21404  ;-2,62374e+01
3350;512,197  ;5,85218  ;-8,96122  ;-2,62316e+01
3347;512,195  ;5,92689  ;-2,35668  ;-2,62331e+01
11059;512,017  ;-12,5007  ;-6,1413  ;-2,62188e+01
4609;512,017  ;-15,8428  ;-1,64088  ;-2,62218e+01
3344;511,857  ;11,2113  ;0,404976  ;-2,62042e+01
5304;511,826  ;-7,4206  ;12,9397  ;-2,61959e+01
2065;511,801  ;-11,5652  ;5,14018  ;-2,61986e+01
5306;511,783  ;-4,70208  ;9,17458  ;-2,61930e+01
5300;511,783  ;-15,7826  ;7,47582  ;-2,61989e+01
5305;511,78  ;-5,78455  ;2,52172  ;-2,61948e+01
7413;511,765  ;-0,377068  ;-20;-2,61836e+01
11369;511,765  ;-0,377068  ;20;-2,61836e+01
222;511,765  ;-9,81147  ;-20;-2,61858e+01
306;511,765  ;9,81147  ;-20;-2,61858e+01
907;511,765  ;-9,81147  ;20;-2,61858e+01
908;511,765  ;9,81147  ;20;-2,61858e+01
7526;511,765  ;-3,82523  ;16,6045  ;-2,61868e+01
7525;511,765  ;5,98624  ;16,6045  ;-2,61873e+01
1724;511,765  ;2,16101  ;13,209  ;-2,61889e+01
3374;511,765  ;10,7548  ;-11,2616  ;-2,61926e+01
3370;511,765  ;14,9057  ;-14,9057  ;-2,61928e+01
5302;511,765  ;-14,9057  ;14,9057  ;-2,61928e+01
5657;511,765  ;14,9057  ;14,9057  ;-2,61928e+01
10345;511,765  ;-20;20;-2,61928e+01
11249;511,765  ;-14,9057  ;-14,9057  ;-2,61928e+01
13574;511,765  ;20;20;-2,61928e+01
8003;511,765  ;20;-20;-2,61929e+01
14639;511,765  ;-20;-20;-2,61929e+01
647;511,765  ;20;9,81147  ;-2,61998e+01
1248;511,765  ;-20;9,81147  ;-2,61998e+01
648;511,765  ;20;-9,81147  ;-2,61999e+01
1247;511,765  ;-20;-9,81147  ;-2,61999e+01
3368;511,765  ;20;0;-2,62021e+01
4605;511,765  ;-20;-0,377068  ;-2,62021e+01
6429;511,764  ;4,82906  ;-16,6529  ;-2,61869e+01
6425;511,764  ;-4,9824  ;-16,6529  ;-2,61870e+01
1733;511,764  ;-0,153337  ;-13,3058  ;-2,61887e+01
5662;511,762  ;7,61315  ;13,2346  ;-2,61899e+01
3301;511,762  ;1,07855  ;6,55612  ;-2,61916e+01
3351;511,761  ;-0,0786259  ;-6,70128  ;-2,61915e+01
1725;511,759  ;-0,00391466  ;-0,0967417  ;-2,61923e+01
5675;511,424  ;6,36292  ;9,31778  ;-2,61604e+01
5664;511,424  ;15,2824  ;7,61902  ;-2,61655e+01
5674;511,421  ;5,28046  ;2,66491  ;-2,61616e+01
1732;511,083  ;10,5648  ;5,42657  ;-2,61320e+01
6435;509,474  ;-8,8742  ;-15,9521  ;-2,59780e+01
10835;509,474  ;-13,9685  ;-10,8578  ;-2,59839e+01
6432;509,473  ;-4,04514  ;-12,605  ;-2,59788e+01
6277;509,471  ;-3,97043  ;-6,00049  ;-2,59813e+01
3346;509,256  ;11,4698  ;-6,96714  ;-2,59641e+01
3367;509,256  ;15,9288  ;-2,49684  ;-2,59679e+01
5296;509,094  ;-11,6253  ;1,11774  ;-2,59504e+01
4607;509,076  ;-15,8428  ;-6,35808  ;-2,59505e+01
7521;509,073  ;-5,84471  ;-1,50072  ;-2,59460e+01
5297;508,902  ;-9,78563  ;8,87985  ;-2,59300e+01
5303;508,884  ;-8,90877  ;16,3098  ;-2,59236e+01
3298;508,884  ;-2,92254  ;12,9143  ;-2,59243e+01
5298;508,884  ;-14,003  ;11,2155  ;-2,59296e+01
3302;508,881  ;-4,005  ;6,26139  ;-2,59271e+01
8215;508,842  ;-15,7826  ;2,38156  ;-2,59297e+01
3188;508,824  ;4,7172  ;-20;-2,59136e+01
12853;508,824  ;4,7172  ;20;-2,59136e+01
7414;508,824  ;-5,09427  ;-20;-2,59137e+01
9294;508,824  ;-5,09427  ;20;-2,59137e+01
3316;508,824  ;0,891972  ;16,6045  ;-2,59160e+01
7505;508,824  ;-14,9057  ;20;-2,59182e+01
13576;508,824  ;14,9057  ;20;-2,59182e+01
8004;508,824  ;14,9057  ;-20;-2,59183e+01
11700;508,824  ;-14,9057  ;-20;-2,59183e+01
8007;508,824  ;20;-14,9057  ;-2,59265e+01
10347;508,824  ;-20;14,9057  ;-2,59265e+01
10832;508,824  ;-20;-14,9057  ;-2,59265e+01
13575;508,824  ;20;14,9057  ;-2,59265e+01
4604;508,824  ;-20;-5,09427  ;-2,59311e+01
13755;508,824  ;20;-5,09427  ;-2,59311e+01
8526;508,824  ;-20;4,7172  ;-2,59312e+01
11639;508,824  ;20;4,7172  ;-2,59312e+01
6430;508,823  ;-0,265202  ;-16,6529  ;-2,59159e+01
3189;508,823  ;10,4466  ;-14,6588  ;-2,59199e+01
3349;508,823  ;5,46424  ;-11,3117  ;-2,59201e+01
3371;508,823  ;15,5409  ;-9,56456  ;-2,59259e+01
5658;508,821  ;8,11534  ;16,6033  ;-2,59173e+01
5679;508,821  ;4,29011  ;13,2078  ;-2,59186e+01
5659;508,821  ;13,2096  ;11,509  ;-2,59232e+01
