Node  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
1121;1000;-20;6,66667  ;-8,05907e+01
1122;1000;-20;-6,66667  ;-8,05907e+01
1379;1000;-11,9736  ;-11,0746  ;-8,05907e+01
1383;1000;-11,0374  ;11,8893  ;-8,05907e+01
1384;1000;-9,66438  ;0,210664  ;-8,05907e+01
8288;1000;-20;0;-8,05907e+01
8291;1000;-14,8322  ;3,43867  ;-8,05907e+01
8292;1000;-14,8322  ;-3,228  ;-8,05907e+01
8455;1000;-10,819  ;-5,43198  ;-8,05907e+01
8863;1000;-8,85201  ;15,9447  ;-8,05907e+01
10774;1000;-15,9868  ;-8,87064  ;-8,05907e+01
11169;1000;-15,5187  ;9,278  ;-8,05907e+01
12344;1000;-20;13,3333  ;-8,05907e+01
12346;1000;-15,5187  ;15,9447  ;-8,05907e+01
14124;1000;-10,3509  ;6,05  ;-8,05907e+01
14226;1000;-20;-13,3333  ;-8,05907e+01
14227;1000;-15,9868  ;-15,5373  ;-8,05907e+01
14230;1000;-9,32015  ;-15,5373  ;-8,05907e+01
14625;1000;-13,3333  ;20;-8,05907e+01
4;1000;-20;-20;-8,05908e+01
8;1000;-20;20;-8,05908e+01
8457;1000;-6,24764  ;-10,7787  ;-8,05908e+01
14229;1000;-13,3333  ;-20;-8,05908e+01
14626;1000;-5,38576  ;10,7912  ;-8,05908e+01
95;1000;-6,66667  ;-20;-8,05909e+01
864;1000;-6,66667  ;20;-8,05909e+01
8456;1000;-5,09302  ;-5,13607  ;-8,05909e+01
11713;1000;-4,13956  ;-0,587296  ;-8,05909e+01
14451;1000;-4,69927  ;4,95191  ;-8,05909e+01
10745;1000;-3,59416  ;-15,2414  ;-8,05910e+01
14179;1000;-3,20041  ;14,8466  ;-8,05910e+01
1380;1000;-0,521655  ;-10,4828  ;-8,05912e+01
1382;1000;0,265839  ;9,69315  ;-8,05912e+01
12363;1000;0,4318  ;-5,93403  ;-8,05912e+01
14793;1000;0,825547  ;4,15395  ;-8,05912e+01
1385;1000;1,38526  ;-1,38526  ;-8,05913e+01
14178;1000;0;20;-8,05913e+01
10742;1000;0;-20;-8,05914e+01
6234;1000;3,46625  ;14,8466  ;-8,05916e+01
10746;1000;3,07251  ;-15,2414  ;-8,05916e+01
13992;1000;5,41795  ;-10,492  ;-8,05919e+01
14453;1000;5,3745  ;5,1416  ;-8,05919e+01
9465;1000;5,9342  ;-0,397604  ;-8,05920e+01
13993;1000;6,3714  ;-5,94326  ;-8,05920e+01
14450;1000;6,10957  ;10,4911  ;-8,05921e+01
863;1000;6,66667  ;20;-8,05923e+01
96;1000;6,66667  ;-20;-8,05924e+01
9489;1000;9,01211  ;-15,2506  ;-8,05928e+01
1377;1000;10,4832  ;0,590048  ;-8,05929e+01
6232;1000;9,30998  ;15,6445  ;-8,05929e+01
13382;1000;10,9203  ;-4,95561  ;-8,05930e+01
10058;1000;11,2182  ;5,93952  ;-8,05931e+01
1378;1000;11,3575  ;-10,5013  ;-8,05932e+01
1381;1000;11,9533  ;11,289  ;-8,05934e+01
10057;1000;15,2416  ;3,62836  ;-8,05944e+01
12350;1000;15,2416  ;-3,03831  ;-8,05944e+01
8450;1000;15,9766  ;8,97783  ;-8,05947e+01
13381;1000;15,6788  ;-8,58397  ;-8,05947e+01
14123;1000;13,3333  ;20;-8,05953e+01
9486;1000;13,3333  ;-20;-8,05954e+01
9487;1000;15,6788  ;-15,2506  ;-8,05956e+01
13656;1000;15,9766  ;15,6445  ;-8,05959e+01
12347;1000;20;0;-8,05961e+01
522;1000;20;6,66667  ;-8,05970e+01
521;1000;20;-6,66667  ;-8,05971e+01
13929;1000;20;-13,3333  ;-8,05972e+01
14803;1000;20;13,3333  ;-8,05972e+01
3;1000;20;-20;-8,06017e+01
6;1000;20;20;-8,06018e+01
12362;996,334  ;2,34352  ;-5,90182  ;-8,01479e+01
12364;996,334  ;1,39006  ;-10,4506  ;-8,01479e+01
10754;996,334  ;4,98422  ;-15,2092  ;-8,01482e+01
9545;996,334  ;7,32966  ;-10,4598  ;-8,01485e+01
11170;996,266  ;-14,2545  ;7,69614  ;-8,01390e+01
8866;996,266  ;-7,58784  ;14,3628  ;-8,01391e+01
8867;996,266  ;-9,77319  ;10,3075  ;-8,01391e+01
13309;996,266  ;-9,0867  ;4,46813  ;-8,01391e+01
14452;996,266  ;-4,12159  ;9,20938  ;-8,01393e+01
9467;996,258  ;4,50499  ;-1,94936  ;-8,01389e+01
6217;996,258  ;9,05394  ;-0,961704  ;-8,01393e+01
9547;996,258  ;9,49114  ;-6,50736  ;-8,01394e+01
11715;996,24  ;-4,65403  ;2,50327  ;-8,01361e+01
9466;996,24  ;0,870794  ;1,70531  ;-8,01364e+01
13983;996,24  ;0,311086  ;7,24451  ;-8,01364e+01
6214;996,24  ;5,41974  ;2,69296  ;-8,01368e+01
14228;996,24  ;6,15482  ;8,04243  ;-8,01369e+01
8458;996,221  ;-8,58712  ;-8,12864  ;-8,01337e+01
8459;996,221  ;-7,4325  ;-2,486  ;-8,01337e+01
8460;996,221  ;-2,86113  ;-7,83274  ;-8,01339e+01
11714;996,221  ;-1,90767  ;-3,28396  ;-8,01339e+01
10772;995,615  ;-20;-8,98669  ;-8,00602e+01
10775;995,615  ;-15,9868  ;-11,1907  ;-8,00602e+01
8864;995,615  ;-11,1716  ;15,9447  ;-8,00603e+01
11164;995,615  ;-20;-15,6534  ;-8,00603e+01
13000;995,615  ;-15,6529  ;20;-8,00603e+01
8865;995,615  ;-8,98621  ;20;-8,00604e+01
9485;995,615  ;8,98669  ;-20;-8,00618e+01
9488;995,615  ;11,3321  ;-15,2506  ;-8,00620e+01
8451;995,615  ;15,9766  ;11,2974  ;-8,00621e+01
8452;995,615  ;20;8,98621  ;-8,00628e+01
10609;995,615  ;20;15,6529  ;-8,00632e+01
9484;995,615  ;15,6534  ;-20;-8,00635e+01
6231;995,606  ;8,98473  ;20;-8,00607e+01
6210;995,606  ;11,628  ;15,6445  ;-8,00609e+01
11707;995,606  ;15,6788  ;-10,902  ;-8,00610e+01
13930;995,606  ;20;-8,98473  ;-8,00617e+01
11706;995,606  ;20;-15,6514  ;-8,00621e+01
10610;995,606  ;15,6514  ;20;-8,00623e+01
11167;995,604  ;-20;8,98351  ;-8,00590e+01
11168;995,604  ;-15,5187  ;11,5948  ;-8,00590e+01
12345;995,604  ;-20;15,6502  ;-8,00590e+01
11161;995,604  ;-15,6502  ;-20;-8,00591e+01
14231;995,604  ;-11,637  ;-15,5373  ;-8,00591e+01
13986;995,604  ;-8,98351  ;-20;-8,00592e+01
6237;995,36  ;3,34498  ;11,3808  ;-8,00301e+01
6233;995,36  ;6,54539  ;16,5343  ;-8,00306e+01
6213;995,36  ;9,18871  ;12,1788  ;-8,00307e+01
8289;994,876  ;-20;-3,33948  ;-7,99708e+01
8290;994,876  ;-20;3,32719  ;-7,99708e+01
8293;994,876  ;-14,8322  ;0,0991837  ;-7,99709e+01
10776;994,876  ;-15,9868  ;-5,54346  ;-7,99709e+01
10744;994,876  ;-3,32719  ;-20;-7,99712e+01
10747;994,876  ;-0,254689  ;-15,2414  ;-7,99713e+01
10743;994,876  ;3,33947  ;-20;-7,99717e+01
13800;994,874  ;-3,3382  ;20;-7,99710e+01
6235;994,874  ;0,12805  ;14,8466  ;-7,99711e+01
6236;994,874  ;3,32846  ;20;-7,99714e+01
11708;994,874  ;15,2416  ;0,299893  ;-7,99721e+01
12348;994,874  ;20;3,3382  ;-7,99727e+01
12349;994,874  ;20;-3,32846  ;-7,99727e+01
11711;994,146  ;11,9127  ;-2,33742  ;-7,98836e+01
9548;994,146  ;12,3499  ;-7,88308  ;-7,98837e+01
13383;994,146  ;16,6711  ;-5,96578  ;-7,98840e+01
11163;994,118  ;-20;-20;-7,98792e+01
14796;994,118  ;-20;20;-7,98792e+01
10607;994,118  ;20;20;-7,98816e+01
14668;994,118  ;20;-20;-7,98816e+01
10624;994,056  ;6,64503  ;-16,5634  ;-7,98726e+01
10625;994,056  ;8,99047  ;-11,814  ;-7,98727e+01
12358;994,029  ;-8,54424  ;-12,1319  ;-7,98685e+01
12360;994,029  ;-2,81826  ;-11,836  ;-7,98687e+01
13987;994,029  ;-5,89076  ;-16,5946  ;-7,98687e+01
6216;993,828  ;11,7825  ;3,68884  ;-7,98451e+01
6209;993,828  ;12,5176  ;9,03831  ;-7,98452e+01
8453;993,828  ;16,541  ;6,72715  ;-7,98455e+01
2151;992,668  ;3,30177  ;-10,4184  ;-7,97042e+01
9546;992,592  ;5,46325  ;-6,46592  ;-7,96951e+01
6091;992,555  ;-0,949415  ;-7,80052  ;-7,96904e+01
1983;992,532  ;-8,50902  ;8,7256  ;-7,96873e+01
2171;992,516  ;7,62473  ;-2,51345  ;-7,96860e+01
11156;992,506  ;-4,07634  ;6,76074  ;-7,96843e+01
6218;992,498  ;3,99053  ;1,14121  ;-7,96837e+01
6076;992,487  ;-6,85481  ;1,77147  ;-7,96819e+01
2155;992,48  ;0,356333  ;4,79588  ;-7,96814e+01
12361;992,479  ;1,21206  ;-3,84806  ;-7,96812e+01
6098;992,461  ;-2,42214  ;-0,193396  ;-7,96790e+01
1984;992,442  ;-5,20061  ;-5,18267  ;-7,96765e+01
8868;991,88  ;-9,90739  ;14,3628  ;-7,96085e+01
11171;991,87  ;-14,2545  ;10,013  ;-7,96072e+01
12353;991,836  ;-12,6003  ;-8,2447  ;-7,96031e+01
13984;991,6  ;3,39022  ;8,9322  ;-7,95750e+01
1115;991,229  ;-11,3058  ;20;-7,95297e+01
1374;991,229  ;-20;-11,3067  ;-7,95297e+01
432;991,229  ;11,3067  ;-20;-7,95304e+01
774;991,229  ;20;11,3058  ;-7,95305e+01
9470;991,22  ;15,6514  ;15,6529  ;-7,95292e+01
11158;991,22  ;15,6534  ;-15,6514  ;-7,95292e+01
8475;991,219  ;-15,6529  ;15,6502  ;-7,95284e+01
11165;991,219  ;-15,6502  ;-15,6534  ;-7,95285e+01
1116;991,211  ;11,3028  ;20;-7,95281e+01
773;991,211  ;20;-11,3028  ;-7,95284e+01
10753;991,21  ;1,65703  ;-15,2092  ;-7,95277e+01
1373;991,209  ;-20;11,3003  ;-7,95272e+01
431;991,209  ;-11,3003  ;-20;-7,95273e+01
8880;991,142  ;-14,2545  ;4,35665  ;-7,95191e+01
11155;991,14  ;-4,25938  ;14,3628  ;-7,95190e+01
8899;991,114  ;0,173297  ;12,3979  ;-7,95160e+01
8881;991,097  ;-12,6003  ;-2,59748  ;-7,95137e+01
6211;990,966  ;8,86345  ;16,5343  ;-7,94983e+01
2170;990,72  ;6,42411  ;13,0685  ;-7,94685e+01
10773;990,491  ;-20;-5,65951  ;-7,94403e+01
13991;990,49  ;5,6595  ;-20;-7,94408e+01
13799;990,488  ;-5,65775  ;20;-7,94401e+01
12556;990,488  ;20;5,65775  ;-7,94408e+01
11153;990,48  ;-20;5,64403  ;-7,94391e+01
13985;990,48  ;-5,64403  ;-20;-7,94392e+01
12554;990,479  ;5,64653  ;20;-7,94393e+01
9549;990,479  ;8,32201  ;-7,84163  ;-7,94394e+01
11719;990,479  ;20;-5,64653  ;-7,94397e+01
8075;990,404  ;10,4835  ;-3,88917  ;-7,94303e+01
6075;990,39  ;4,96258  ;-11,7726  ;-7,94285e+01
10083;990,363  ;-0,906541  ;-11,8038  ;-7,94251e+01
12359;990,25  ;-5,15773  ;-9,1859  ;-7,94113e+01
6228;990,234  ;3,20719  ;16,5343  ;-7,94095e+01
6219;990,086  ;10,3533  ;2,13709  ;-7,93918e+01
6215;990,069  ;6,71914  ;5,79176  ;-7,93896e+01
1206;989,752  ;-20;-0,0122965  ;-7,93510e+01
264;989,752  ;0,0122785  ;-20;-7,93511e+01
11721;989,751  ;16,6711  ;-8,28384  ;-7,93513e+01
949;989,748  ;-0,00973893  ;20;-7,93506e+01
607;989,748  ;20;0,00973893  ;-7,93510e+01
8472;989,732  ;-15,6529  ;20;-7,93485e+01
11166;989,732  ;-20;-15,6534  ;-7,93486e+01
14118;989,732  ;15,6534  ;-20;-7,93488e+01
10608;989,732  ;20;15,6529  ;-7,93492e+01
10002;989,723  ;15,6514  ;20;-7,93477e+01
13426;989,723  ;20;-15,6514  ;-7,93481e+01
8473;989,722  ;-20;15,6502  ;-7,93473e+01
11162;989,722  ;-15,6502  ;-20;-7,93474e+01
10626;989,67  ;8,96506  ;-16,5634  ;-7,93414e+01
9562;989,661  ;13,3117  ;-12,2148  ;-7,93404e+01
6519;989,644  ;-12,5574  ;-12,2479  ;-7,93379e+01
11723;989,634  ;-8,2076  ;-16,5946  ;-7,93367e+01
8454;989,443  ;16,541  ;9,0467  ;-7,93139e+01
6208;989,434  ;12,1924  ;13,3938  ;-7,93128e+01
6212;989,188  ;9,75303  ;9,92808  ;-7,92831e+01
11710;989,019  ;16,6711  ;-2,62757  ;-7,92626e+01
10755;988,932  ;3,31784  ;-16,5634  ;-7,92519e+01
12357;988,905  ;-2,55129  ;-16,5946  ;-7,92486e+01
6071;988,889  ;4,76404  ;-6,0486  ;-7,92467e+01
8073;988,813  ;6,92552  ;-2,09613  ;-7,92376e+01
6099;988,795  ;3,29132  ;1,55853  ;-7,92353e+01
6092;988,776  ;0,51285  ;-3,43074  ;-7,92330e+01
11709;988,702  ;16,541  ;3,39869  ;-7,92242e+01
4726;988,404  ;-10,5922  ;4,23401  ;-7,91879e+01
4729;988,359  ;-8,938  ;-2,72013  ;-7,91824e+01
2191;988,291  ;13,3422  ;-5,26488  ;-7,91744e+01
4727;988,281  ;-7,27616  ;7,42915  ;-7,91729e+01
6097;988,255  ;-2,84348  ;5,46429  ;-7,91698e+01
4728;988,236  ;-5,62195  ;0,475019  ;-7,91675e+01
779;988,235  ;-20;20;-7,91674e+01
97;988,235  ;-20;-20;-7,91675e+01
437;988,235  ;20;20;-7,91675e+01
11;988,235  ;20;-20;-7,91676e+01
8077;988,201  ;9,98282  ;-9,19584  ;-7,91635e+01
2153;988,112  ;6,62339  ;-13,1268  ;-7,91526e+01
8057;988,085  ;0,754269  ;-13,158  ;-7,91493e+01
2154;988,059  ;-5,11486  ;-13,1891  ;-7,91461e+01
8074;987,974  ;13,2121  ;0,761378  ;-7,91360e+01
6518;987,753  ;-16,3377  ;-5,78215  ;-7,91091e+01
6072;987,747  ;0,50406  ;-7,90544  ;-7,91084e+01
11154;987,743  ;-16,3377  ;5,52138  ;-7,91078e+01
2169;987,657  ;13,0819  ;6,78764  ;-7,90976e+01
4732;987,634  ;-3,74713  ;-5,28758  ;-7,90947e+01
8901;987,625  ;0,377758  ;6,9427  ;-7,90937e+01
8878;987,194  ;-9,08544  ;14,3628  ;-7,90414e+01
4725;987,168  ;-14,2545  ;9,16203  ;-7,90383e+01
8879;987,014  ;-16,3377  ;-0,134941  ;-7,90197e+01
8900;986,889  ;-3,02652  ;13,0664  ;-7,90044e+01
6223;986,745  ;3,41165  ;11,079  ;-7,89871e+01
6641;986,701  ;9,78428  ;-3,47185  ;-7,89818e+01
6074;986,611  ;6,42485  ;-7,40281  ;-7,89709e+01
8471;986,543  ;-10,4838  ;20;-7,89626e+01
11157;986,543  ;10,4842  ;-20;-7,89626e+01
6521;986,543  ;-20;-10,4843  ;-7,89627e+01
9469;986,543  ;20;10,4838  ;-7,89629e+01
9471;986,534  ;15,6514  ;14,8309  ;-7,89616e+01
9560;986,534  ;14,8308  ;-15,6514  ;-7,89616e+01
8474;986,533  ;-14,8309  ;15,6502  ;-7,89614e+01
6522;986,517  ;-14,7992  ;-15,6534  ;-7,89595e+01
6221;986,513  ;10,445  ;20;-7,89589e+01
9561;986,513  ;20;-10,445  ;-7,89594e+01
11722;986,507  ;-10,4494  ;-20;-7,89582e+01
11152;986,507  ;-20;10,4494  ;-7,89583e+01
8072;986,383  ;9,65413  ;2,55441  ;-7,89434e+01
6222;986,268  ;8,00562  ;16,5343  ;-7,89293e+01
6230;986,259  ;0,194722  ;14,5448  ;-7,89282e+01
6088;986,168  ;-8,89512  ;-6,72336  ;-7,89172e+01
14795;985,805  ;-20;-4,83706  ;-7,88734e+01
13990;985,804  ;4,83696  ;-20;-7,88731e+01
10622;985,802  ;-4,83579  ;20;-7,88729e+01
12555;985,802  ;20;4,83579  ;-7,88733e+01
6229;985,782  ;4,78869  ;20;-7,88703e+01
11720;985,782  ;20;-4,78869  ;-7,88708e+01
14263;985,778  ;-4,79307  ;-20;-7,88700e+01
11151;985,778  ;-20;4,79308  ;-7,88702e+01
6073;985,469  ;2,16487  ;-9,25965  ;-7,88327e+01
6090;985,443  ;-3,70426  ;-9,29081  ;-7,88294e+01
6517;985,297  ;-15,4022  ;-10,3452  ;-7,88119e+01
7924;985,213  ;6,74056  ;7,93859  ;-7,88017e+01
2152;985,11  ;6,22631  ;-1,67881  ;-7,87892e+01
8076;985,053  ;16,6711  ;-7,426  ;-7,87825e+01
13425;985,046  ;14,8308  ;-20;-7,87812e+01
8470;985,046  ;-14,8309  ;20;-7,87814e+01
8284;985,046  ;20;14,8309  ;-7,87816e+01
14792;985,046  ;-20;-14,8309  ;-7,87816e+01
8285;985,025  ;14,7936  ;20;-7,87787e+01
13424;985,025  ;20;-14,7936  ;-7,87792e+01
14790;985,02  ;-14,7992  ;-20;-7,87783e+01
13015;985,02  ;-20;14,7992  ;-7,87784e+01
8070;984,984  ;8,14252  ;-16,5634  ;-7,87739e+01
8071;984,964  ;13,3117  ;-11,357  ;-7,87715e+01
10091;984,932  ;-7,35664  ;-16,5946  ;-7,87676e+01
8728;984,757  ;16,541  ;8,22474  ;-7,87466e+01
6220;984,736  ;11,3345  ;13,3938  ;-7,87439e+01
6096;984,57  ;0,0915057  ;2,22695  ;-7,87238e+01
1981;984,277  ;-12,6754  ;-0,257585  ;-7,86884e+01
4723;984,153  ;-9,35934  ;2,93756  ;-7,86734e+01
1982;984,029  ;-6,04329  ;6,13271  ;-7,86584e+01
6070;983,968  ;1,96633  ;-3,53565  ;-7,86510e+01
7920;983,94  ;3,31274  ;3,70536  ;-7,86476e+01
6226;983,873  ;7,5171  ;12,0051  ;-7,86394e+01
6089;983,712  ;-7,95961  ;-11,2864  ;-7,86199e+01
4730;983,552  ;-7,48452  ;-2,82504  ;-7,86006e+01
4731;983,428  ;-4,16847  ;0,370106  ;-7,85856e+01
8902;983,4  ;-2,82206  ;7,61112  ;-7,85822e+01
14797;983,205  ;-20;-0,128289  ;-7,85588e+01
12356;983,203  ;0,127711  ;-20;-7,85582e+01
8504;983,202  ;-0,127151  ;20;-7,85581e+01
12569;983,202  ;20;0,127151  ;-7,85586e+01
10092;983,067  ;-16,3377  ;-4,95971  ;-7,85421e+01
4722;983,041  ;-16,3377  ;4,67043  ;-7,85389e+01
8877;982,943  ;-7,85257  ;13,0664  ;-7,85269e+01
4724;982,917  ;-13,0216  ;7,86558  ;-7,85239e+01
1985;982,827  ;-2,29365  ;-5,39249  ;-7,85128e+01
2172;982,77  ;0,399183  ;9,08953  ;-7,85059e+01
6635;982,717  ;12,8314  ;-7,35343  ;-7,84996e+01
8043;982,627  ;9,47195  ;-11,2844  ;-7,84886e+01
6633;982,474  ;16,6711  ;-2,51016  ;-7,84703e+01
6634;982,398  ;11,233  ;-1,966  ;-7,84609e+01
11717;982,383  ;3,43327  ;-16,5634  ;-7,84590e+01
6515;982,357  ;-2,43586  ;-16,5946  ;-7,84558e+01
8282;982,353  ;20;20;-7,84553e+01
13928;982,353  ;20;-20;-7,84553e+01
13013;982,353  ;-20;20;-7,84556e+01
14791;982,353  ;-20;-20;-7,84556e+01
7927;982,342  ;10,846  ;8,86467  ;-7,84540e+01
10623;982,314  ;-4,63133  ;14,5448  ;-7,84506e+01
6224;982,293  ;4,99315  ;14,5448  ;-7,84481e+01
8727;982,157  ;16,541  ;3,5161  ;-7,84319e+01
7925;982,081  ;11,1028  ;4,06026  ;-7,84225e+01
183;981,857  ;9,66164  ;-20;-7,83951e+01
867;981,857  ;-9,66185  ;20;-7,83953e+01
525;981,857  ;20;9,66185  ;-7,83957e+01
1125;981,857  ;-20;-9,66183  ;-7,83957e+01
8287;981,836  ;14,7936  ;14,8309  ;-7,83928e+01
8069;981,836  ;14,8308  ;-14,7936  ;-7,83929e+01
6520;981,831  ;-14,7992  ;-14,8309  ;-7,83924e+01
8876;981,831  ;-14,8309  ;14,7992  ;-7,83924e+01
6084;981,821  ;-11,7399  ;-4,82067  ;-7,83912e+01
868;981,816  ;9,58712  ;20;-7,83901e+01
526;981,816  ;20;-9,58712  ;-7,83907e+01
266;981,805  ;-9,59842  ;-20;-7,83891e+01
1208;981,805  ;-20;9,59845  ;-7,83894e+01
6640;981,126  ;9,2734  ;-5,5604  ;-7,83070e+01
6083;981,096  ;-6,54901  ;-7,38813  ;-7,83033e+01
7917;980,836  ;3,76914  ;-0,89499  ;-7,82719e+01
6639;980,807  ;7,67499  ;-0,172962  ;-7,82684e+01
8044;980,77  ;3,24486  ;-12,8361  ;-7,82637e+01
6516;980,743  ;-2,62427  ;-12,8673  ;-7,82606e+01
10097;980,645  ;-3,86724  ;7,82912  ;-7,82488e+01
6523;980,611  ;-15,4022  ;-9,52279  ;-7,82448e+01
6511;980,585  ;-10,2014  ;-14,6919  ;-7,82415e+01
6524;980,467  ;-16,3377  ;-0,250934  ;-7,82275e+01
8875;980,296  ;-2,36566  ;3,01077  ;-7,82066e+01
8705;980,016  ;-0,645998  ;9,30754  ;-7,81726e+01
6227;979,898  ;4,50463  ;10,0156  ;-7,81583e+01
8506;979,714  ;0,0773101  ;14,5448  ;-7,81359e+01
6095;979,695  ;-0,49084  ;-2,75183  ;-7,81338e+01
7919;979,667  ;0,855578  ;4,48918  ;-7,81303e+01
7918;979,638  ;4,76143  ;5,21121  ;-7,81268e+01
8500;979,559  ;-5,67652  ;14,7628  ;-7,81173e+01
8887;979,533  ;-10,8456  ;9,562  ;-7,81143e+01
6650;979,5  ;10,9911  ;-14,721  ;-7,81100e+01
6646;979,479  ;16,1602  ;-9,51455  ;-7,81077e+01
8729;979,442  ;14,305  ;10,3018  ;-7,81031e+01
6225;979,421  ;9,0986  ;15,4709  ;-7,81004e+01
6085;979,393  ;-11,4561  ;-0,0697134  ;-7,80974e+01
2006;979,364  ;-10,8044  ;-9,38376  ;-7,80939e+01
8042;979,269  ;3,04631  ;-7,11213  ;-7,80822e+01
13304;979,269  ;-8,14006  ;3,12543  ;-7,80824e+01
10748;979,258  ;-20;-4,95305  ;-7,80812e+01
8499;979,257  ;-4,95321  ;20;-7,80806e+01
8726;979,257  ;20;4,95321  ;-7,80811e+01
9703;979,256  ;4,95239  ;-20;-7,80803e+01
8505;979,236  ;4,67128  ;20;-7,80779e+01
14117;979,236  ;20;-4,67128  ;-7,80786e+01
12336;979,231  ;-20;4,67708  ;-7,80781e+01
10090;979,23  ;-4,67764  ;-20;-7,80773e+01
6649;979,164  ;14,8308  ;-20;-7,80692e+01
13014;979,164  ;-14,8309  ;20;-7,80695e+01
8283;979,164  ;20;14,8309  ;-7,80696e+01
6531;979,164  ;-20;-14,8309  ;-7,80698e+01
8286;979,143  ;14,7936  ;20;-7,80666e+01
6642;979,143  ;20;-14,7936  ;-7,80671e+01
6507;979,138  ;-14,7992  ;-20;-7,80664e+01
13016;979,138  ;-20;14,7992  ;-7,80666e+01
6086;978,668  ;-6,26524  ;-2,63717  ;-7,80096e+01
8885;978,157  ;-15,1184  ;4,8583  ;-7,79479e+01
6094;978,127  ;-1,21367  ;-8,96897  ;-7,79440e+01
6525;978,011  ;-15,4022  ;-4,81402  ;-7,79303e+01
6514;978,01  ;-5,28061  ;-14,6919  ;-7,79298e+01
6510;977,918  ;-15,4022  ;-14,6919  ;-7,79188e+01
2248;977,261  ;-1,69118  ;9,52554  ;-7,78392e+01
8704;977,144  ;3,45945  ;10,2336  ;-7,78250e+01
1879;977,143  ;12,3205  ;-9,44198  ;-7,78249e+01
2173;977,026  ;8,61009  ;10,9417  ;-7,78107e+01
8502;976,959  ;-0,967871  ;14,7628  ;-7,78025e+01
6087;976,937  ;-10,5206  ;-4,6328  ;-7,78002e+01
10096;976,912  ;-0,189602  ;4,70719  ;-7,77970e+01
6632;976,9  ;16,1602  ;-4,59871  ;-7,77957e+01
6638;976,899  ;6,28182  ;-14,721  ;-7,77952e+01
8713;976,883  ;3,71625  ;5,42922  ;-7,77935e+01
4123;976,853  ;6,81624  ;-4,77657  ;-7,77898e+01
8703;976,842  ;4,18276  ;15,4709  ;-7,77882e+01
8725;976,842  ;14,305  ;5,59313  ;-7,77886e+01
6631;976,824  ;10,7221  ;-4,05455  ;-7,77864e+01
6645;976,807  ;16,1602  ;-14,721  ;-7,77842e+01
7926;976,766  ;8,86688  ;6,1373  ;-7,77793e+01
8732;976,749  ;14,305  ;15,4709  ;-7,77770e+01
1306;976,658  ;-20;-0,244282  ;-7,77667e+01
1114;976,657  ;-0,244562  ;20;-7,77658e+01
772;976,657  ;20;0,244562  ;-7,77666e+01
424;976,655  ;0,243144  ;-20;-7,77656e+01
4104;976,581  ;14,5618  ;0,788727  ;-7,77571e+01
1882;976,563  ;1,31197  ;-0,111166  ;-7,77548e+01
7916;976,534  ;5,21782  ;0,610863  ;-7,77512e+01
1878;976,505  ;9,12367  ;1,33289  ;-7,77477e+01
12;976,471  ;20;-20;-7,77434e+01
438;976,471  ;20;20;-7,77434e+01
780;976,471  ;-20;20;-7,77437e+01
98;976,471  ;-20;-20;-7,77438e+01
4893;976,396  ;-5,46902  ;-10,9646  ;-7,77346e+01
6648;976,223  ;9,73655  ;-20;-7,77131e+01
8497;976,223  ;-9,73666  ;20;-7,77134e+01
10634;976,223  ;-14,8309  ;14,9057  ;-7,77137e+01
14304;976,223  ;20;9,73666  ;-7,77139e+01
6530;976,223  ;-20;-9,73665  ;-7,77140e+01
8741;976,202  ;9,69929  ;20;-7,77106e+01
6643;976,202  ;20;-9,69929  ;-7,77114e+01
6508;976,197  ;-9,70494  ;-20;-7,77103e+01
10633;976,197  ;-20;9,70496  ;-7,77108e+01
8888;975,885  ;-5,964  ;4,82185  ;-7,76729e+01
6526;975,584  ;-15,1184  ;-0,0630622  ;-7,76366e+01
4889;975,536  ;-4,46242  ;0,00349617  ;-7,76306e+01
10635;975,502  ;-9,92382  ;14,9552  ;-7,76264e+01
8886;975,476  ;-15,0929  ;9,7544  ;-7,76235e+01
4122;975,285  ;6,09341  ;-10,9937  ;-7,76001e+01
6093;975,267  ;-3,62427  ;-5,23659  ;-7,75980e+01
6513;975,042  ;0,0547314  ;-16,2727  ;-7,75704e+01
4120;974,995  ;0,589147  ;-6,3283  ;-7,75651e+01
6512;974,976  ;-10,3079  ;-14,6919  ;-7,75628e+01
4875;974,976  ;-15,4022  ;-9,59761  ;-7,75630e+01
2010;974,509  ;-10,2368  ;0,118158  ;-7,75065e+01
8501;973,925  ;-5,75132  ;14,7628  ;-7,74354e+01
4111;973,91  ;10,2644  ;-7,99675  ;-7,74337e+01
4109;973,866  ;11,066  ;-14,721  ;-7,74282e+01
4110;973,866  ;16,1602  ;-9,62672  ;-7,74285e+01
8363;973,807  ;9,21078  ;15,4709  ;-7,74211e+01
8362;973,807  ;14,305  ;10,3766  ;-7,74214e+01
4103;973,667  ;14,1042  ;-3,15347  ;-7,74045e+01
9988;973,623  ;4,78345  ;20;-7,73985e+01
8498;973,623  ;-5,02801  ;20;-7,73986e+01
6636;973,623  ;20;-4,78345  ;-7,73994e+01
11962;973,623  ;20;5,02801  ;-7,73994e+01
6527;973,623  ;-20;-5,02787  ;-7,73996e+01
12337;973,623  ;-20;4,78359  ;-7,73996e+01
6637;973,622  ;5,0273  ;-20;-7,73984e+01
12566;973,622  ;-4,78416  ;-20;-7,73985e+01
4121;973,62  ;4,76017  ;-3,33134  ;-7,73986e+01
