time,frame,link,body_index,node,x,y,z
0.0,0,0,1,0,0.0,0.0,0.0
0.0,0,0,1,1,0.14285714285714285,0.0,0.0
0.0,0,0,1,2,0.2857142857142857,0.0,0.0
0.0,0,0,1,3,0.42857142857142855,0.0,0.0
0.0,0,0,1,4,0.5714285714285714,0.0,0.0
0.0,0,0,1,5,0.7142857142857142,0.0,0.0
0.0,0,0,1,6,0.8571428571428571,0.0,0.0
0.0,0,0,1,7,1.0,0.0,0.0
0.0,0,1,0,0,1.0,0.0,0.0
0.0,0,1,0,1,1.1428571428571428,0.0,0.0
0.0,0,1,0,2,1.2857142857142856,0.0,0.0
0.0,0,1,0,3,1.4285714285714286,0.0,0.0
0.0,0,1,0,4,1.5714285714285714,0.0,0.0
0.0,0,1,0,5,1.7142857142857142,0.0,0.0
0.0,0,1,0,6,1.8571428571428572,0.0,0.0
0.0,0,1,0,7,2.0,0.0,0.0
0.01002004008016032,1,0,1,0,0.0,0.0,0.0
0.01002004008016032,1,0,1,1,0.14285703565293242,2.24081679647213e-08,-0.00017768680698201532
0.01002004008016032,1,0,1,2,0.2857141462041823,6.501985313048477e-08,-0.0003040293915732002
0.01002004008016032,1,0,1,3,0.4285713135847334,1.0068397419437478e-07,-0.00039141440829887646
0.01002004008016032,1,0,1,4,0.5714285205720766,1.118781059565207e-07,-0.00045164821508269994
0.01002004008016032,1,0,1,5,0.7142857516931368,9.459599615820162e-08,-0.0004953378993360406
0.01002004008016032,1,0,1,6,0.8571429943302138,5.7024986031122126e-08,-0.0005311331349795351
0.01002004008016032,1,0,1,7,1.0000002399507584,1.2499117486800268e-08,-0.0005648831467550595
0.01002004008016032,1,1,0,0,1.0000002399507584,1.2499117486800268e-08,-0.0005648831467550595
0.01002004008016032,1,1,0,1,1.142857380045118,-2.2580712778455125e-08,-0.000536357966684137
0.01002004008016032,1,1,0,2,1.2857145220707418,-4.055108142068479e-08,-0.0005160790778861361
0.01002004008016032,1,1,0,3,1.4285716655617176,-4.3563767836873615e-08,-0.0005020570814605102
0.01002004008016032,1,1,0,4,1.57142881007396,-3.441092711379865e-08,-0.0004923957802319488
0.01002004008016032,1,1,0,5,1.7142859552084935,-1.664202479062545e-08,-0.00048539159146151247
0.01002004008016032,1,1,0,6,1.8571431006399688,5.832563263408352e-09,-0.0004796553103976357
0.01002004008016032,1,1,0,7,2.0000002461483737,2.9676912851620213e-08,-0.0004742475073744418
0.02004008016032064,2,0,1,0,0.0,0.0,0.0
0.02004008016032064,2,0,1,1,0.14285604538569957,8.135435150428267e-08,-0.0005644902269851951
0.02004008016032064,2,0,1,2,0.2857126215811279,2.376080007160454e-07,-0.0010097172176261587
0.02004008016032064,2,0,1,3,0.4285696005301384,3.7181206537808556e-07,-0.0013644528456562765
0.02004008016032064,2,0,1,4,0.5714268601757286,4.2114927621562256e-07,-0.0016561210867967475
