ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3,  UR-Magnitude,        UR-UR1,        UR-UR2,        UR-UR3
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             4,           60.,            0.,            0.,NA,NA,"""",       1.29610,  -449.366E-18,  -592.338E-03,      -1.15283,   39.3541E-03,   256.145E-18,   35.0039E-03,  -17.9855E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             5,           80.,            0.,            0.,NA,NA,"""",       2.22659,  -552.181E-18,      -1.01759,      -1.98046,   50.9026E-03,   3.27059E-18,   45.2758E-03,  -23.2633E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             6,          100.,            0.,            0.,NA,NA,"""",       3.38011,  -724.773E-18,      -1.54476,      -3.00647,   61.6697E-03,   232.181E-18,   54.8526E-03,  -28.1840E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             7,          120.,            0.,            0.,NA,NA,"""",       4.74101,  -1.02938E-15,      -2.16672,      -4.21693,   71.6594E-03,   43.3217E-18,   63.7380E-03,  -32.7495E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             8,          140.,            0.,            0.,NA,NA,"""",       6.29373,  -1.10971E-15,      -2.87633,      -5.59801,   80.8779E-03,   313.571E-18,   71.9375E-03,  -36.9625E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",             9,          160.,            0.,            0.,NA,NA,"""",       8.02285,  -1.30775E-15,      -3.66657,      -7.13599,   89.3337E-03,   468.719E-18,   79.4586E-03,  -40.8269E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            10,          180.,            0.,            0.,NA,NA,"""",       9.91311,  -1.77312E-15,      -4.53045,      -8.81730,   97.0377E-03,   659.968E-18,   86.3110E-03,  -44.3478E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            11,          200.,            0.,            0.,NA,NA,"""",       11.9495,  -2.54893E-15,      -5.46112,      -10.6286,   104.004E-03,   212.913E-18,   92.5071E-03,  -47.5314E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            12,          220.,            0.,            0.,NA,NA,"""",       14.1174,  -2.88681E-15,      -6.45187,      -12.5568,   110.249E-03,   131.062E-18,   98.0618E-03,  -50.3855E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            13,          240.,            0.,            0.,NA,NA,"""",       16.4024,  -3.53551E-15,      -7.49614,      -14.5892,   115.793E-03,   744.443E-18,   102.993E-03,  -52.9192E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            14,          260.,            0.,            0.,NA,NA,"""",       18.7906,  -4.56206E-15,      -8.58758,      -16.7134,   120.660E-03,   388.579E-18,   107.322E-03,  -55.1435E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            15,          280.,            0.,            0.,NA,NA,"""",       21.2685,  -5.19191E-15,      -9.72005,      -18.9175,   124.877E-03,   85.3623E-18,   111.073E-03,  -57.0707E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            16,          300.,            0.,            0.,NA,NA,"""",       23.8235,  -5.67592E-15,      -10.8877,      -21.1900,   128.475E-03,   377.744E-18,   114.273E-03,  -58.7150E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            17,          320.,            0.,            0.,NA,NA,"""",       26.4432,  -5.56353E-15,      -12.0850,      -23.5201,   131.489E-03,   577.358E-18,   116.954E-03,  -60.0924E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            18,          340.,            0.,            0.,NA,NA,"""",       29.1163,  -5.80115E-15,      -13.3066,      -25.8977,   133.958E-03,   759.024E-18,   119.150E-03,  -61.2209E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         1: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            19,          360.,            0.,            0.,NA,NA,"""",       31.8322,  -5.70031E-15,      -14.5478,      -28.3134,   135.925E-03,   542.160E-18,   120.900E-03,  -62.1200E-03"
