frequency_hz,u_x_amp,u_x_amp_norm,u_x_amp_norm_log,u_y_amp,u_y_amp_norm,u_y_amp_norm_log,u_z_amp,u_z_amp_norm,u_z_amp_norm_log,theta_x_amp,theta_x_amp_norm,theta_x_amp_norm_log,theta_y_amp,theta_y_amp_norm,theta_y_amp_norm_log,theta_z_amp,theta_z_amp_norm,theta_z_amp_norm_log
0.0,0.00017380833179899078,0.0019888522944277783,0.0019888522944277783,0.40142075359001445,0.08670303484453849,0.08670303484453849,1.237659694683087,0.21822361155895836,0.21822361155895836,0.001747771660922312,0.00012581464041825228,0.00012581464041825228,1.6935526677653177,0.21735226253926482,0.21735226253926482,0.552694197383357,0.08695089373280702,0.08695089373280702
1.663893510815308,8.71083396257484e-05,0.0009967624643496512,0.0009967624643496512,0.16816865438525155,0.036322817319543586,0.036322817319543586,0.4027492648065935,0.07101257275839053,0.07101257275839053,0.0008795433350261521,6.331457987491908e-05,6.331457987491908e-05,0.5499006792067008,0.07057480943605206,0.07057480943605206,0.2316552964781619,0.03644444823570914,0.03644444823570914
3.327787021630616,1.0548923557829169e-07,1.2070912023938778e-06,1.2070912023938778e-06,0.0687486248782327,0.014849043964526581,0.014849043964526581,0.964458399158303,0.17005287961371993,0.17005287961371993,1.37081809919121e-06,9.867935845667678e-08,9.867935845667678e-08,1.3250113538970738,0.17005329750964202,0.17005329750964202,0.0943918016295062,0.014849896292728006,0.014849896292728006
4.9916805324459235,4.484363091879871e-08,5.131362652192669e-07,5.131362652192669e-07,0.34627991539470776,0.0747931423622788,0.0747931423622788,5.311228030863548,0.9364733841518519,0.9364733841518519,2.0018553796087595e-06,1.4410504551945313e-07,1.4410504551945313e-07,7.29674051502391,0.9364710589101918,0.9364710589101918,0.47541761712177644,0.07479359635177656,0.07479359635177656
6.655574043261232,2.790692146586397e-08,3.193330504546138e-07,3.193330504546138e-07,3.4136559929594443,0.7373169719249734,0.7373169719249734,5.671520537312267,1.0,1.0,2.2074046344151595e-06,1.5890166121012054e-07,1.5890166121012054e-07,7.791741608667986,1.0,1.0,4.686677060023592,0.7373168760146042,0.7373168760146042
8.319467554076539,2.0630285949401804e-08,2.360680360974915e-07,2.360680360974915e-07,4.629835095274065,1.0,1.0,1.2703317314749845,0.22398433067774706,0.22398433067774706,2.3252975239694495e-06,1.6738826837899662e-07,1.6738826837899662e-07,1.7452134712220517,0.2239824623137624,0.2239824623137624,6.356394668946601,1.0,1.0
9.983361064891847,1.6845172964512468e-08,1.9275578192217558e-07,1.9275578192217558e-07,1.4883086122903573,0.32146039365625745,0.32146039365625745,0.16397150718304807,0.028911383835128306,0.028911383835128306,2.418176592789605e-06,1.7407423709405373e-07,1.7407423709405373e-07,0.22525525250503084,0.02890948696944003,0.02890948696944003,2.0433316252511813,0.3214607858183557,0.3214607858183557
11.647254575707155,1.4624689769556028e-08,1.6734725834152935e-07,1.6734725834152935e-07,0.1226775680504251,0.02649717873875228,0.02649717873875228,0.052437681199396645,0.009245788824075538,0.009245788824075538,2.5046264894591346e-06,1.8029739707934163e-07,1.8029739707934163e-07,0.07202338857002342,0.009243554546251948,0.009243554546251948,0.1684308168028707,0.026497853826748536,0.026497853826748536
13.311148086522463,1.319068530229098e-08,1.5093824592296396e-07,1.5093824592296396e-07,0.03628133501027395,0.007836420577335112,0.007836420577335112,0.023012212627690837,0.004057503182135407,0.004057503182135407,2.591959969590136e-06,1.8658416247600573e-07,1.8658416247600573e-07,0.03159398825911157,0.00405480441291387,0.00405480441291387,0.04981804492805126,0.007837468804671822,0.007837468804671822
14.975041597337771,1.2249049884070689e-08,1.4016330928639496e-07,1.4016330928639496e-07,0.015523727649323561,0.0033529763652207635,0.0033529763652207635,0.011971621333908803,0.002110830994113292,0.002110830994113292,2.6832298440381845e-06,1.931542921396487e-07,1.931542921396487e-07,0.016421217605838395,0.0021075156788529126,0.0021075156788529126,0.02132247396108846,0.0033544918262009174,0.0033544918262009174
16.638935108153078,1.1569736454627348e-08,1.3239006816037988e-07,1.3239006816037988e-07,0.008039378197505364,0.0017364286269529584,0.0017364286269529584,0.0069363481341174205,0.0012230138440800843,0.0012230138440800843,2.780238726894475e-06,2.0013754858374267e-07,2.0013754858374267e-07,0.009497204695527426,0.0012188808577741057,0.0012188808577741057,0.011050855367964072,0.0017385414127841514,0.0017385414127841514
18.302828618968388,1.1089107502861357e-08,1.2689033184973104e-07,1.2689033184973104e-07,0.0046896481193270025,0.0010129190398409636,0.0010129190398409636,0.004330198139598046,0.0007634986263578139,0.0007634986263578139,2.8835379046441735e-06,2.0757361657515354e-07,2.0757361657515354e-07,0.005908353962134131,0.0007582841242529571,0.0007582841242529571,0.006456903049724516,0.0010158121680626498,0.0010158121680626498
19.966722129783694,1.0733619432611316e-08,1.228225564051329e-07,1.228225564051329e-07,0.002970191053975843,0.0006415327960617183,0.0006415327960617183,0.002854430842447994,0.0005032919873372633,0.0005032919873372633,2.993573414822441e-06,2.1549460445695273e-07,2.1549460445695273e-07,0.0038699632196304143,0.000496674994371636,0.000496674994371636,0.004102860055768045,0.0006454696835947071,0.0006454696835947071
