"(No Title)"
	"2026-04-"	"7 13:13:25"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"Hinge2_ang_acc"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".Rigid_Pend.Last_Run.Hinge2_ang_acc.TIME"	".Rigid_Pend.Last_Run.Hinge2_ang_acc.Q"
0.000000e+00	4.698238e+02
1.000000e-02	2.534761e+01
2.000000e-02	2.330346e+01
3.000000e-02	1.857279e+01
4.000000e-02	3.086638e+00
5.000000e-02	-1.732458e+00
6.000000e-02	1.834230e+01
7.000000e-02	2.028585e+01
8.000000e-02	2.336161e+00
9.000000e-02	1.503086e+01
1.000000e-01	1.128103e+01
1.100000e-01	1.171885e+01
1.200000e-01	1.202382e+01
1.300000e-01	1.170934e+01
1.400000e-01	1.145284e+01
1.500000e-01	1.120217e+01
1.600000e-01	1.088643e+01
1.700000e-01	1.052604e+01
1.800000e-01	1.013201e+01
1.900000e-01	9.704836e+00
2.000000e-01	9.249896e+00
2.100000e-01	8.774314e+00
2.200000e-01	8.284597e+00
2.300000e-01	7.786801e+00
2.400000e-01	7.286186e+00
2.500000e-01	6.786713e+00
2.600000e-01	6.290827e+00
2.700000e-01	5.799389e+00
2.800000e-01	5.311714e+00
2.900000e-01	4.825707e+00
3.000000e-01	4.338056e+00
3.100000e-01	3.844467e+00
3.200000e-01	3.339903e+00
3.300000e-01	2.818820e+00
3.400000e-01	2.275389e+00
3.500000e-01	1.703701e+00
3.600000e-01	1.097963e+00
3.700000e-01	4.526746e-01
3.800000e-01	-2.371960e-01
3.900000e-01	-9.760386e-01
4.000000e-01	-1.767427e+00
4.100000e-01	-2.613933e+00
4.200000e-01	-3.516926e+00
4.300000e-01	-4.476336e+00
4.400000e-01	-5.490367e+00
4.500000e-01	-6.555115e+00
4.600000e-01	-7.664036e+00
4.700000e-01	-8.807173e+00
4.800000e-01	-9.970000e+00
4.900000e-01	-1.113168e+01
5.000000e-01	-1.226248e+01
5.100000e-01	-1.332000e+01
5.200000e-01	-1.424389e+01
5.300000e-01	-1.494917e+01
5.400000e-01	-1.531868e+01
5.500000e-01	-1.519771e+01
5.600000e-01	-1.439668e+01
5.700000e-01	-1.271267e+01
5.800000e-01	-9.981794e+00
5.900000e-01	-6.164858e+00
6.000000e-01	-1.438483e+00
6.100000e-01	3.772525e+00
6.200000e-01	8.882669e+00
6.300000e-01	1.333465e+01
6.400000e-01	1.677635e+01
6.500000e-01	1.911751e+01
6.600000e-01	2.046453e+01
6.700000e-01	2.101326e+01
6.800000e-01	2.096811e+01
6.900000e-01	2.050391e+01
