"(No Title)"
	"2026-05-"	"4 15:31:57"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"REV2_Ang_Acc"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".MODEL_1.Last_Run.REV2_Ang_Acc.TIME"	".MODEL_1.Last_Run.REV2_Ang_Acc.Q"
0.000000e+00	6.078025e+02
1.000000e-02	2.541086e+01
2.000000e-02	2.252922e+01
3.000000e-02	1.727505e+01
4.000000e-02	1.890988e+00
5.000000e-02	-3.646365e+00
6.000000e-02	1.798872e+01
7.000000e-02	1.329221e+01
8.000000e-02	1.227949e+01
9.000000e-02	1.224556e+01
1.000000e-01	1.238677e+01
1.100000e-01	1.205291e+01
1.200000e-01	1.186660e+01
1.300000e-01	1.171204e+01
1.400000e-01	1.147686e+01
1.500000e-01	1.119886e+01
1.600000e-01	1.088396e+01
1.700000e-01	1.052748e+01
1.800000e-01	1.013271e+01
1.900000e-01	9.705153e+00
2.000000e-01	9.250431e+00
2.100000e-01	8.774894e+00
2.200000e-01	8.285153e+00
2.300000e-01	7.787359e+00
2.400000e-01	7.286738e+00
2.500000e-01	6.787246e+00
2.600000e-01	6.291336e+00
2.700000e-01	5.799871e+00
2.800000e-01	5.312169e+00
2.900000e-01	4.826135e+00
3.000000e-01	4.338460e+00
3.100000e-01	3.844851e+00
3.200000e-01	3.340272e+00
3.300000e-01	2.819180e+00
3.400000e-01	2.275747e+00
3.500000e-01	1.704065e+00
3.600000e-01	1.098340e+00
3.700000e-01	4.530713e-01
3.800000e-01	-2.367714e-01
3.900000e-01	-9.755786e-01
4.000000e-01	-1.766924e+00
4.100000e-01	-2.613380e+00
4.200000e-01	-3.516317e+00
4.300000e-01	-4.475664e+00
4.400000e-01	-5.489627e+00
4.500000e-01	-6.554302e+00
4.600000e-01	-7.663145e+00
4.700000e-01	-8.806202e+00
4.800000e-01	-9.968947e+00
4.900000e-01	-1.113055e+01
5.000000e-01	-1.226127e+01
5.100000e-01	-1.331872e+01
5.200000e-01	-1.424258e+01
5.300000e-01	-1.494785e+01
5.400000e-01	-1.531742e+01
5.500000e-01	-1.519660e+01
5.600000e-01	-1.439586e+01
5.700000e-01	-1.271227e+01
5.800000e-01	-9.981966e+00
5.900000e-01	-6.165654e+00
6.000000e-01	-1.439836e+00
6.100000e-01	3.770812e+00
6.200000e-01	8.880831e+00
6.300000e-01	1.333286e+01
6.400000e-01	1.677467e+01
6.500000e-01	1.911597e+01
6.600000e-01	2.046315e+01
6.700000e-01	2.101205e+01
6.800000e-01	2.096709e+01
6.900000e-01	2.050306e+01
7.000000e-01	1.975592e+01
7.100000e-01	1.882662e+01
7.200000e-01	1.778875e+01
7.300000e-01	1.669588e+01
7.400000e-01	1.558722e+01
7.500000e-01	1.449159e+01
7.600000e-01	1.342985e+01
7.700000e-01	1.241633e+01
7.800000e-01	1.145934e+01
7.900000e-01	1.056118e+01
8.000000e-01	9.717683e+00
8.100000e-01	8.917373e+00
8.200000e-01	8.140407e+00
8.300000e-01	7.357462e+00
8.400000e-01	6.528954e+00
8.500000e-01	5.605259e+00
8.600000e-01	4.529033e+00
8.700000e-01	3.241060e+00
8.800000e-01	1.690927e+00
8.900000e-01	-1.474829e-01
9.000000e-01	-2.258559e+00
9.100000e-01	-4.572431e+00
9.200000e-01	-6.966265e+00
9.300000e-01	-9.284794e+00
9.400000e-01	-1.137568e+01
9.500000e-01	-1.312526e+01
9.600000e-01	-1.447903e+01
9.700000e-01	-1.544066e+01
9.800000e-01	-1.605547e+01
9.900000e-01	-1.638923e+01
1.000000e+00	-1.651089e+01
1.010000e+00	-1.648225e+01
1.020000e+00	-1.635357e+01
1.030000e+00	-1.616307e+01
1.040000e+00	-1.593837e+01
1.050000e+00	-1.569861e+01
1.060000e+00	-1.545651e+01
1.070000e+00	-1.522019e+01
1.080000e+00	-1.499458e+01
1.090000e+00	-1.478248e+01
1.100000e+00	-1.458535e+01
1.110000e+00	-1.440380e+01
1.120000e+00	-1.423801e+01
1.130000e+00	-1.408797e+01
1.140000e+00	-1.395359e+01
1.150000e+00	-1.383482e+01
1.160000e+00	-1.373170e+01
1.170000e+00	-1.364430e+01
1.180000e+00	-1.357275e+01
1.190000e+00	-1.351714e+01
