"(No Title)"
	"2026-05-"	"9 09:42:20"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"  rev2_acc"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".Flex_Pend_Alu.Last_Run.rev2_acc.TIME"	".Flex_Pend_Alu.Last_Run.rev2_acc.Q"
0.000000e+00	1.722531e+03
1.000000e-02	5.988953e+00
2.000000e-02	6.225677e+00
3.000000e-02	6.116030e+00
4.000000e-02	6.047536e+00
5.000000e-02	5.988370e+00
6.000000e-02	5.905198e+00
7.000000e-02	5.807799e+00
8.000000e-02	5.696530e+00
9.000000e-02	5.570273e+00
1.000000e-01	5.429261e+00
1.100000e-01	5.273812e+00
1.200000e-01	5.104322e+00
1.300000e-01	4.921308e+00
1.400000e-01	4.725380e+00
1.500000e-01	4.517272e+00
1.600000e-01	4.297883e+00
1.700000e-01	4.068260e+00
1.800000e-01	3.829562e+00
1.900000e-01	3.583029e+00
2.000000e-01	3.329962e+00
2.100000e-01	3.071708e+00
2.200000e-01	2.809633e+00
2.300000e-01	2.545075e+00
2.400000e-01	2.279319e+00
2.500000e-01	2.013568e+00
2.600000e-01	1.748929e+00
2.700000e-01	1.486396e+00
2.800000e-01	1.226848e+00
2.900000e-01	9.710381e-01
3.000000e-01	7.196072e-01
3.100000e-01	4.730917e-01
3.200000e-01	2.319432e-01
3.300000e-01	-3.452100e-03
3.400000e-01	-2.327507e-01
3.500000e-01	-4.556269e-01
3.600000e-01	-6.717468e-01
3.700000e-01	-8.807425e-01
3.800000e-01	-1.082188e+00
3.900000e-01	-1.275575e+00
4.000000e-01	-1.460293e+00
4.100000e-01	-1.635612e+00
4.200000e-01	-1.800661e+00
4.300000e-01	-1.954425e+00
4.400000e-01	-2.095729e+00
4.500000e-01	-2.223245e+00
4.600000e-01	-2.335488e+00
4.700000e-01	-2.430838e+00
4.800000e-01	-2.507557e+00
4.900000e-01	-2.563828e+00
5.000000e-01	-2.597801e+00
5.100000e-01	-2.607662e+00
5.200000e-01	-2.591709e+00
5.300000e-01	-2.548451e+00
5.400000e-01	-2.476721e+00
5.500000e-01	-2.375792e+00
5.600000e-01	-2.245507e+00
5.700000e-01	-2.086390e+00
5.800000e-01	-1.899751e+00
5.900000e-01	-1.687747e+00
6.000000e-01	-1.453407e+00
6.100000e-01	-1.200594e+00
6.200000e-01	-9.339107e-01
6.300000e-01	-6.585406e-01
6.400000e-01	-3.800408e-01
6.500000e-01	-1.040975e-01
6.600000e-01	1.637306e-01
6.700000e-01	4.182579e-01
6.800000e-01	6.548844e-01
6.900000e-01	8.697575e-01
7.000000e-01	1.059873e+00
7.100000e-01	1.223115e+00
7.200000e-01	1.358234e+00
7.300000e-01	1.464785e+00
7.400000e-01	1.543023e+00
7.500000e-01	1.593791e+00
7.600000e-01	1.618386e+00
7.700000e-01	1.618440e+00
7.800000e-01	1.595807e+00
7.900000e-01	1.552460e+00
8.000000e-01	1.490411e+00
8.100000e-01	1.411647e+00
8.200000e-01	1.318073e+00
8.300000e-01	1.211485e+00
8.400000e-01	1.093535e+00
8.500000e-01	9.657227e-01
8.600000e-01	8.293879e-01
8.700000e-01	6.857066e-01
8.800000e-01	5.356968e-01
8.900000e-01	3.802259e-01
9.000000e-01	2.200207e-01
9.100000e-01	5.567981e-02
9.200000e-01	-1.123122e-01
9.300000e-01	-2.835696e-01
9.400000e-01	-4.577900e-01
9.500000e-01	-6.347374e-01
9.600000e-01	-8.142257e-01
9.700000e-01	-9.961019e-01
9.800000e-01	-1.180230e+00
9.900000e-01	-1.366473e+00
1.000000e+00	-1.554680e+00
1.010000e+00	-1.744670e+00
1.020000e+00	-1.936222e+00
1.030000e+00	-2.129057e+00
1.040000e+00	-2.322838e+00
1.050000e+00	-2.517156e+00
1.060000e+00	-2.711530e+00
1.070000e+00	-2.905404e+00
1.080000e+00	-3.098153e+00
1.090000e+00	-3.289083e+00
1.100000e+00	-3.477444e+00
1.110000e+00	-3.662441e+00
1.120000e+00	-3.843243e+00
1.130000e+00	-4.019003e+00
1.140000e+00	-4.188870e+00
1.150000e+00	-4.352007e+00
