t,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,body0_node0_x,body0_node0_y,body0_node0_z,body0_node0_vx,body0_node0_vy,body0_node0_vz,body0_node1_x,body0_node1_y,body0_node1_z,body0_node1_vx,body0_node1_vy,body0_node1_vz,body0_node2_x,body0_node2_y,body0_node2_z,body0_node2_vx,body0_node2_vy,body0_node2_vz,body0_node3_x,body0_node3_y,body0_node3_z,body0_node3_vx,body0_node3_vy,body0_node3_vz,body0_node4_x,body0_node4_y,body0_node4_z,body0_node4_vx,body0_node4_vy,body0_node4_vz,body0_node5_x,body0_node5_y,body0_node5_z,body0_node5_vx,body0_node5_vy,body0_node5_vz,body0_node6_x,body0_node6_y,body0_node6_z,body0_node6_vx,body0_node6_vy,body0_node6_vz,body0_node7_x,body0_node7_y,body0_node7_z,body0_node7_vx,body0_node7_vy,body0_node7_vz
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0.42857142857142855,0,0,0,0,0,0.5714285714285714,0,0,0,0,0,0.71428571428571419,0,0,0,0,0,0.8571428571428571,0,0,0,0,0,1,0,0,0,0,0
0.009999999999999995,0.0025312707749580439,0.42674618441115736,0.0010718376713929976,0.00018494350440507212,1.1466497647461981e-05,0.16849175819541412,0.029072924992021482,-0.0040336996888818526,0,0,0,0,0,0,0.14285687280157094,-8.4511420041838262e-07,-0.00028749266940955804,-0.00012959913434210145,0.00029729538977080823,-0.051199128449324505,0.28571405929810695,-2.4061825079298606e-06,-0.00045105774552058899,-0.00021393163523683169,0.0008464500610722048,-0.0845153274168636,0.42857147192601974,-3.4205154208751516e-06,-0.00052528789310340453,-0.0002596268965337273,0.0012032734330681442,-0.1025675896062837,0.57142903177802795,-3.0897297986271395e-06,-0.00054135603665359596,-0.00027457736407240262,0.0010869092299278077,-0.1084738860624736,0.71428667434608817,-1.267113899801613e-06,-0.00052474657175107268,-0.00026809456056252378,0.0004457470014652025,-0.10591280499276549,0.85714435327731031,1.6094702404408371e-06,-0.00049377156180207887,-0.00024993948811840298,-0.00056618156720080273,-0.098740504878322158,1.0000020414899038,4.868936436339643e-06,-0.00045912987523689507,-0.00022816171157108577,-0.001712800891175406,-0.090137027822344798
0.019999999999999934,0.0081712143052749316,0.69120652865856835,0.0031448731515036879,0.00054264174237560376,-9.513147916487528e-05,0.24087502560334736,0.04156251692557731,-0.01664491096263989,0,0,0,0,0,0,0.14285381047474038,7.0114664846495164e-06,-0.00099147206448136141,-0.00072152077841069584,0.0012267783112227093,-0.088298347471837693,0.28571030392822161,1.9962826328088555e-05,-0.0016546062678663015,-0.0012584870607896532,0.0034928445316839639,-0.15401126496618403,0.42856915924451833,2.8378211160043493e-05,-0.0020287001694266546,-0.001598558571370038,0.0049652628360459623,-0.1956285728871601,0.57142995040942612,2.5633857435077966e-05,-0.0021658885813181069,-0.0017510111286137651,0.004485090302169749,-0.21428542834477859,0.71429212548886745,1.051257526668268e-05,-0.002133716151496485,-0.0017538274472386677,0.0018393583368712116,-0.21463008408855427,0.85715506921018958,-1.3352925135213642e-05,-0.0020074787828550638,-0.0016669411517725274,-0.0023363270698249609,-0.20399710367112303,1.0000182549523045,-4.0394995874659837e-05,-0.0018516233676198575,-0.0015503179260032303,-0.0070678088427583016,-0.18972497399670574
0.029999999999999874,0.016259869327043999,0.91894721964102932,0.0058216427206245992,0.0010045131225396016,-0.0003115349749489455,0.29072010450282959,0.050163188291265461,-0.026023473308206792,0,0,0,0,0,0,0.14284283926957819,2.2961033033633801e-05,-0.0020410538020520313,-0.0019607425898539089,0.00191800561197496,-0.12057721691827088,0.28569495817981588,6.5373929372306895e-05,-0.0035114497061672356,-0.0035046845758254087,0.0054608851104062384,-0.21552299343939141,0.42855623749635691,9.293249070039225e-05,-0.0044185201112509698,-0.0045555866838119623,0.0077629363816955413,-0.28014894285787439,0.57142578049872406,8.394532707734406e-05,-0.0048174094610790369,-0.00510625917887177,0.0070122110010250307,-0.31401292746826576,0.71430167772606967,3.4426405445270577e-05,-0.0048255413664817989,-0.0052425062975640611,0.0028757433843409389,-0.32239153793455516,0.85718129401203191,-4.3727935631785878e-05,-0.0046049671990689243,-0.0051244246988609386,-0.0036527287696055703,-0.31513002863978101,1.0000621242870016,-0.00013228485605705286,-0.0043097379409496889,-0.0049207957995930232,-0.011050160327060582,-0.30260772913707806
0.040000000000000119,0.026475450746411156,1.117842501194638,0.0089042995986240246,0.0015364195679947435,-0.0006069316641459777,0.32282314477248919,0.055702505417346185,-0.032561346669272115,0,0,0,0,0,0,0.14281736852394988,4.4732627506381002e-05,-0.0033931730196275246,-0.0039446835906998034,0.002399865878987573,-0.14895919660625193,0.28565690035007252,0.00012736132677288264,-0.00594941511440747,-0.0071623815876261142,0.0068328224712754593,-0.27046595311106436,0.42851996632682871,0.0001810508474793265,-0.0076169602856993512,-0.009468405901806181,0.009713217743924505,-0.35754607533040023,0.57140538787963679,0.00016354207763870016,-0.0084403138832475876,-0.010820133991990652,0.0087738877365917522,-0.40859005026889744,0.71430860368685678,6.7069437551465618e-05,-0.0085917205982451814,-0.011367251151259101,0.0035982159706504911,-0.42925029604533099,0.85722247310154776,-8.5190655549943406e-05,-0.0083408256397810489,-0.011415449555093753,-0.0045704032796557575,-0.43107036484117534,1.0001398714093259,-0.00025771702789092278,-0.0079566725714880285,-0.011294776668516684,-0.013826290476252031,-0.42651351362019096
0.050000000000000405,0.038557163247663104,1.2932342697684289,0.012232493983624231,0.0021106930324673902,-0.00095553314297642025,0.34048266896725227,0.058749621951754406,-0.036767369385199304,0,0,0,0,0,0,0.14277003463144056,7.0425569598337508e-05,-0.0050125016301620518,-0.006717577021037432,0.0027098619766525141,-0.17413749403214601,0.28558311978526252,0.00020051346148849432,-0.0089090190206508272,-0.012344246953961132,0.0077154335874542509,-0.3199957698355903,0.42844426450193251,0.0002850404675686371,-0.011559704496977682,-0.016551218411076915,0.010967896025219486,-0.42905167864209215,0.57135254439726779,0.000257475239283835,-0.012988520560000615,-0.019244485667454191,0.0099072306385885392,-0.49886834160190768,0.71429909831173899,0.00010559190473504498,-0.01342517207351392,-0.020648690037294238,0.004063005657118748,-0.53526906009120179,0.85726885594069557,-0.0001341213511480633,-0.013260321485887554,-0.021248969750051964,-0.0051607725973110479,-0.55082990957169231,1.0002463601682197,-0.00040574116693269731,-0.012894658424122317,-0.021576206792587177,-0.015612263655144168,-0.55931276557216913
0.060000000000000692,0.052293829247288752,1.4497348836425996,0.015676555548945103,0.0027049591534270591,-0.0013363249851642003,0.34655443385015294,0.059797293166655184,-0.039087348633779342,0,0,0,0,0,0,0.14269310321677486,9.8491035021041706e-05,-0.0068701483427722858,-0.010295902690157031,0.0028808511895733364,-0.19670611074524155,0.28545941817751852,0.00028042056983404798,-0.012341565767978364,-0.019109996907274402,0.0082022686837905697,-0.36510185469965928,0.42831047103243541,0.00039863263916545955,-0.016194041940807476,-0.025946477083269453,0.011659957807298536,-0.49571472732252814,0.57124643949804621,0.00036008232455891307,-0.018424181537249795,-0.0306490317465858,0.010532365639453844,-0.58555835407632273,0.71425225281915528,0.00014767159210089725,-0.01931991556537016,-0.033522821158314203,0.0043193766994058178,-0.6404629074014403,0.85730074391875954,-0.00018757037775241414,-0.019400278656561878,-0.035251987642524969,-0.0054864114866979693,-0.67349911842403443,1.0003635523675856,-0.00056743406847478142,-0.019207104772281693,-0.03659156856050598,-0.016597379759688481,-0.69909218785509031
0.070000000000000978,0.067517064510176861,1.5913064440368052,0.019133349408196505,0.0033014222069274054,-0.0017324393721511438,0.34349942518599658,0.059270157366692888,-0.039906244426476542,0,0,0,0,0,0,0.14257866828068294,0.00012768581652567034,-0.0089427177324441619,-0.014684959411816181,0.0029412061893618821,-0.21716937301356676,0.28527079480073375,0.00036354303132467064,-0.016207551718956961,-0.027495680724671179,0.0083741095364065193,-0.40662146731936771,0.42809784279206164,0.00051679560494769709,-0.021477091711007999,-0.037759947221738775,0.011904238648163227,-0.55841516705671324,0.57106218240027962,0.00046681817911593571,-0.024716286672888804,-0.045253811401253292,0.010753022967484479,-0.6692386116216662,0.71414045631410095,0.00019144450874156483,-0.026270557555735562,-0.050363271512822085,0.0044098693915410516,-0.74480015849079628,0.85728872110312326,-0.00024317012034873837,-0.02678976432585075,-0.053976724647841923,-0.0056013540305224398,-0.79823791951822787,1.0004605428282412,-0.00073563327202515812,-0.026960597981783102,-0.057080269437241371,-0.016945101591172601,-0.84413487143564847
0.080000000000001265,0.084095056772169677,1.7213165277650637,0.022522501237848744,0.003886213759851629,-0.0021305727095611939,0.33341811562418944,0.057530647020007319,-0.039553384370498532,0,0,0,0,0,0,0.14241872058703653,0.0001570294005439359,-0.011211449845985618,-0.019889100190790796,0.0029151993777579506,-0.2359495758253283,0.28500162049923283,0.00044708915864089872,-0.020475197595891489,-0.037532053365148532,0.0083000637623117188,-0.44525252456925152,0.42778385769142196,0.00063556083405992699,-0.027374155274386879,-0.052083300839862838,0.011798978672535078,-0.61787776334088618,0.57077124678965641,0.00057409805430387801,-0.031839342458147846,-0.063251214938508687,0.01065794230177127,-0.750365637058235,0.71392998669034691,0.00023544053100900988,-0.034271750442798232,-0.071498407756893645,0.0043708763271067411,-0.84820423350457608,0.85719439219312143,-0.00029905324857181095,-0.035450619868548659,-0.077909999038800387,-0.0055518255889131689,-0.9242666108277966,1.0004944442616439,-0.00090468976797465996,-0.036206604800420338,-0.083695310839650011,-0.016795269163136155,-0.99289927154815372
0.090000000000001551,0.10192690369201793,1.8425942370930484,0.025782966262772475,0.0044488006550441727,-0.0025204561949909521,0.31808492951490203,0.054884935595194535,-0.038307786683389307,0,0,0,0,0,0,0.14220513685807559,0.0001857649464956166,-0.013661434963115865,-0.025917515664775403,0.0028233952082744791,-0.25339433788194654,0.2846356776480658,0.00052890409914326105,-0.025119106231352419,-0.049255215421695794,0.0080386818252228907,-0.48156593635153916,0.4273443802909338,0.00075186508975316963,-0.033857202080183613,-0.069007737093035246,0.011427410454577833,-0.67468541644161661,0.57034183923025938,0.00067915494787335864,-0.039772141130481622,-0.084820239202655079,0.010322307096550732,-0.82928350964426323,0.71358164630900223,0.00027852489721223332,-0.04331765376202628,-0.097224072267287229,0.0042332306229472469,-0.95055520509779035,0.85697132523461728,-0.00035377840409395438,-0.045397876359736418,-0.10748304315049312,-0.0053769899528983605,-1.0508566833692283,1.0004116504390503,-0.0010702431886052662,-0.046982932659365172,-0.11700969986798818,-0.016266359974778297,-1.1439983603100909
